,company_name,location,notice_date,employees_affected,Incident Type
0,Concentrix Corporation,Auburn Hills,1/3/2023,125,Facility Closing
1,PROSPECT AIRPORT SERVICES INC,Detroit,1/6/2023,516,Layoff
2,Proper Group Holdings LLC,Warren,1/6/2023,130,Facility Closing
3,Clover Imaging LLC,Ithaca,1/12/2023,82,Layoff
4,MONITRONICS INTERNATIONAL INC,Belleville,1/13/2023,1,Layoff
5,"Inteva Products, Inc.",Adrian,1/13/2023,149,Layoff
6,Concentrix Corporation,Farmington,1/23/2023,161,Facility Closing
7,MARSHALL EXCELSIOR CO INC,Marshall,1/30/2023,81,Layoff
8,FINLANDIA UNIVERSITY,Hancock,3/6/2023,137,Facility Closing
9,FUNCTION INC,Caledonia,3/15/2023,68,Facility Closing
10,YELLOW CORPORATION,Taylor,3/16/2023,105,Facility Closing
11,EYM KING OF MICHIGAN LLC,Detroit,3/23/2023,424,Facility Closing
12,RAPID FINANCIAL SERVICES LLC,Detroit,3/24/2023,51,Layoff
13,SANDLER TRAVIS TRADE ADVISORY,Southfield,3/31/2023,82,Facility Closing
14,FLINT AND GENESEE CHAMBER OF,Flint,4/3/2023,90,Layoff
15,HOME POINT FINANCIAL,Ann Arbor,4/11/2023,113,Layoff
16,PHILLIE BRIDALS INC,Statewide,4/14/2023,217,Facility Closing
17,DAWSON MANUFACTURING COMPANY,Benton Harbor,4/21/2023,90,Facility Closing
18,LEAR CORP,Detroit,5/3/2023,332,Facility Closing
19,LEAR CORP,Detroit,5/3/2023,226,Facility Closing
20,LORDSTOWN MOTORS CORP,Farmington,5/9/2023,149,Layoff
21,ILLINOIS TOOL WORKS INC,Holland,5/30/2023,171,Facility Closing
22,TUBULAR METAL SYSTEMS LLC,Pinconning,5/31/2023,65,Facility Closing
23,Grouper Acquisition Company LLC,Warren,6/2/2023,107,Facility Closing
24,QUALITY SPRING/TOGO INC,Coldwater,6/12/2023,90,Facility Closing
25,AUTISM HOME SUPPORT SERVICES,Northville,6/20/2023,116,Layoff
26,HENRY FOX SALES COMPANY,Grand Rapids,7/13/2023,114,Facility Closing
27,WEST MICHIGAN MOLDING INC,Grand Haven,7/20/2023,134,Facility Closing
28,FCA US LLC,Dundee,7/20/2023,611,Layoff
29,Yellow Corporation,Taylor,8/1/2023,654,Facility Closing
30,"MINNIE MARIE BAKERS, INC.",Livonia,8/3/2023,93,Facility Closing
31,Kelsey Hospital,Lakeview,8/7/2023,108,Facility Closing
32,ALEXANDER & HORNUNG INC,Saint Clair Shores,8/16/2023,132,Facility Closing
33,THRIVEWORKS ADMINISTRATIVE,Lynchburg,9/15/2023,78,Layoff
34,NEWCOR INC,STATEWIDE,9/15/2023,293,Layoff
35,EAGLE INDUSTRIES INC,Wixom,9/21/2023,60,Layoff
36,SODECIA AUTOMOTIVE DETROIT,Center Line,9/25/2023,143,Layoff
37,CASCADES ENVIROPAC HPM LLC,Grand Rapids,9/28/2023,35,Facility Closing
38,MCLAREN HOME MEDICAL EQUIPMENT,Cheboygan,9/29/2023,10,Facility Closing
39,Central Lake Armor Express Inc,Central Lake,1/11/2022,72,Facility Closing
40,Penske Logistics LLC,Flint,1/25/2022,146,Facility Closing
41,Lear Corporation,Roscommon,1/28/2022,71,Layoff
42,Peloton Inc,Warren,2/18/2022,56,Layoff
43,Assemble Rite LTD,Detroit,3/16/2022,250,Facility Closing
44,Pretium Packaging LLC,Ypsilanti,3/25/2022,53,Facility Closing
45,Robinson Industries,Coleman,4/8/2022,94,Layoff
46,SodexoMAGIC,Saginaw,4/8/2022,63,Layoff
47,Mitsubishi Chemical - Performance Polymers Division,Warren,4/13/2022,80*,Facility Closing
48,Palisades Power Plant,Covert,4/13/2022,184,Facility Closing
49,DHL Supply Chain (USA),Mount Clemens,4/14/2022,202,Facility Closing
50,Fluid Routing Solutions LLC,Big Rapids,5/2/2022,60,Layoff
51,Michigan Public Health,Okemos,5/13/2022,67,Layoff
52,Penske Logistics LLC,Romulus,5/19/2022,426,Layoff
53,Dynamic BDC,Troy,5/31/2022,175,Layoff
54,Jervis B. Webb Company,Harbor Springs/Boyne City,6/1/2022,126,Layoff
55,Magna Powertrain,Lansing,6/10/2022,92,Layoff
56,Bon Appetit Management Co.,Hillsdale,7/19/2022,67,Facility Closing
57,Resonetics,Mount Clemens,8/1/2022,91,Facility Closing
58,North Lake Correctional Facility,Baldwin,8/3/2022,89,Facility Closing
59,MV Transportation,Grand Rapids,8/10/2022,49,Facility Closing
60,NBHX Trim Corporation,Comstock Park,8/26/2022,74,Facility Closing
61,Homepoint,Ann Arbor,8/31/2022,217,Layoff
62,Pink Energy,Troy,9/12/2022,Unreported,Facility Closing
63,Second Samuel Transport Inc.,Statewide,9/15/2022,145,Facility Closing
64,Dunn Paper,Port Huron,9/23/2022,125,Facility Closing
65,DETDSP,Plymouth,9/27/2022,98,Layoff
66,FCA US - Warren Truck Assembly Plant,Warren,10/12/2022,"1,215",Layoff
67,Wayne Metropolitan Community Action Agency,Detroit,10/26/2022,113,Layoff
68,"Argo AI, LLC",Allen Park,10/27/2022,173,Facility Closing
69,Booking.Com,Grand Rapids,10/31/2022,226,Facility Closing
70,Pace Industries Inc,Muskegon,11/1/2022,389,Facility Closing
71,Faurecia,Highland Park,12/1/2022,268,Facility Closing
72,Amerifirst Mortgage,Portage,12/15/2022,59,Layoff
73,Great Lakes Tissue Company,Cheboygan,12/22/2022,51,Layoff
74,The Dearborn Inn,Dearborn,1/3/2023,133,Layoff
75,Sky Chefs,Detroit,2/3/2021,334,Facility Closing
76,"Pitney Bowes Presort Services, Inc.",Pontiac,2/9/2021,62,Facility Closing
77,JD NORMAN INDUSTRIES,Leslie,3/8/2021,56,Facility Closing
78,SodexoMAGIC,Saginaw,4/26/2021,6,Facility Closing
79,Aramark Food & Supply Service,Mount Pleasant,5/6/2021,174,Layoff
80,FEDERAL MOGUL PISTON RINGS LLC,Sparta,5/11/2021,78,Facility Closing
81,"Progenity, Inc",Ann Arbor,6/4/2021,110,Layoff
82,"Metaldyne Powertrain Components, LLC",Litchfield,6/30/2021,23,Facility Closing
83,CHERRY CENTRAL COOPERATIVE INC,Shelby,7/2/2021,70,Facility Closing
84,Great Lakes Coca-Cola Distribution,Detroit,8/3/2021,131,Facility Closing
85,"FIRST NATION GROUP, LLC",Detroit,10/7/2021,35,Facility Closing
86,McKesson,Livonia,10/19/2021,86,Facility Closing
87,Champion Bus Facility,Imlay City,10/19/2021,102,Facility Closing
88,CHANGE HEALTHCARE,Clinton Township,12/1/2021,108,Layoff
89,"DST Industries, Inc.",Romulus,1/14/2020,122,Plant Closing
90,Cameron Valves & Process Systems,Muskegon,1/21/2020,64,Plant Closing
91,Syncreon,Warren,1/24/2020,84,Plant Closing
92,Latcha And Associates L.L.C.,Farmington Hills,1/27/2020,66,Mass Layoff
93,Hemisphere Design Works,Muskegon,1/28/2020,42,Plant Closing
94,Gill Industries Inc.,Grand Rapids,1/29/2020,59,Plant Closing
95,GM-UAW Center for Human Resources,Detroit,1/30/2020,71,Mass Layoff
96,"Exel, Inc. DBA DHL Supply Chain (USA)",Detroit,2/10/2020,144,Plant Closing
97,Gerdau-Jackson,Jackson,2/10/2020,140,Mass Layoff
98,"Bear Down Logistics Michigan, Inc.",Walker,2/18/2020,110,Plant Closing
99,Alticor,Ada,2/19/2020,209,Mass Layoff
100,Penske Logistics,Coldwater,2/25/2020,121,Plant Closing
101,Peterson Spring,Madison Heights,2/28/2020,60,Plant Closing
102,"Shenandoah Growers, Inc.",Shelbyville,3/2/2020,78,Plant Closing
103,Art Van,Statewide,3/6/2020,979,Plant Closing
104,"Walmart, Inc.",Ypsilanti,3/5/2020,226,Plant Closing
105,Alutiiq,Detroit,3/16/2020,117,Plant Closing
106,DTW North Partners LLC,Detroit,3/20/2020,85,Plant Closing
107,"HBF APU JV II, LLC",Detroit,3/20/2020,313,Mass Layoff
108,Worthington Specialty Processing,Canton,3/19/2020,66,Plant Closing
109,Marriott Auburn Hills Pontiac at Centerpoint,Pontiac,3/23/2020,134,Mass Layoff
110,Rusty Bucket Restaurant & Tavern,Various,3/23/2020,260,Mass Layoff
111,"Cameron Mitchell Restaurants, LLC",Troy,3/23/2020,100,Mass Layoff
112,Mann+Hummel,Portage,3/24/2020,377,Mass Layoff
113,International Automotive Components (IAC),Mendon,3/24/2020,311,Plant Closing
114,"IAC Alma, LLC",Alma,3/24/2020,91,Mass Layoff
115,ZF Chassis Components,Lapeer,3/24/2020,240,Mass Layoff
116,Detroit Foundation Hotel,Detroit,3/26/2020,111,Mass Layoff
117,"Faith Plastics, Inc.",Marcellus,3/26/2020,53,Mass Layoff
118,Bluebell Mattress Company,Roseville,3/26/2020,80,Plant Closing
119,YMCA of Metropolitan Detroit,Various,3/26/2020,"1,318",Mass Layoff
120,Kirchhoff Automotive Tecumseh,Tecumseh,3/24/2020,338,Mass Layoff
121,ZF North America Inc.,Northville,3/26/2020,60,Mass Layoff
122,The Rapid,Grand Rapids,3/24/2020,270,Mass Layoff
123,Jacobsen/Daniels,Ypsilanti,3/27/2020,5,Mass Layoff
124,Fly Away Valet,Ypsilanti,3/27/2020,24,Mass Layoff
125,HMS Host,Detroit,3/26/2020,202,Mass Layoff
126,Thetford Corporation,Dexter,3/26/2020,59,Mass Layoff
127,MNM Entertainment DBA Art and Jakes,Shelby Township,3/26/2020,300,Mass Layoff
128,Gazelle Sports Inc.,Kalamazoo,3/26/2020,164,Mass Layoff
129,Paper Source,Birmingham,3/30/2020,27,Mass Layoff
130,"Trott Law, P.C.",Farmington Hills,3/30/2020,52,Mass Layoff
131,Convivial Brands,Grand Rapids,3/26/2020,48,Mass Layoff
132,"Ken Garff Automotive, LLC",Various,3/31/2020,180,Mass Layoff
133,ZF Axle Drives Marysville,Marysville,3/30/2020,800,Plant Closing
134,"Collegiate Hotel Group, LLC",Ann Arbor,3/30/2020,113,Mass Layoff
135,La Grasso Bros. Produce,Detroit,3/30/2020,77,Mass Layoff
136,On-Board Companies,Mt. Clemens,3/31/2020,56,Mass Layoff
137,Aludyne,Warren,4/1/2020,115,Plant Closing
138,Benteler Automotive,Holland,3/31/2020,160,Mass Layoff
139,Benteler Automotive,Galesburg,3/30/2020,185,Mass Layoff
140,Benteler Automotive,Grand Rapids,3/31/2020,673,Mass Layoff
141,Great Wolf Lodge,Traverse City,4/1/2020,317,Mass Layoff
142,Martin-Brower Company LLC,St. Johns,4/1/2020,109,Mass Layoff
143,"Trico Products, LLC",Rochester Hills,4/1/2020,108,Mass Layoff
144,"Fram Group Operations, LLC",Rochester Hills,4/2/2020,35,Mass Layoff
145,YMCA of Greater Grand Rapids,Grand Rapids,3/30/2020,"1,297",Mass Layoff
146,Barber Packaging,Bangor,4/3/2020,12,Mass Layoff
147,"H&R Wood Specialties, Inc.",Gobles,4/3/2020,8,Mass Layoff
148,"TriStar Molding, Inc",Marcellus,4/3/2020,74,Mass Layoff
149,Maxwell’s International Inc,Dearborn,4/3/2020,79,Plant Closing
150,Maxwell's International Inc.,Northville,4/3/2020,64,Plant Closing
151,Maxwell's International Inc.,Troy,4/3/2020,56,Plant Closing
152,Spire Hospitality,Livonia,4/6/2020,65,Mass Layoff
153,Schulte Companies,Grandville,3/31/2020,50,Mass Layoff
154,DoubleTree Holland,Holland,3/31/2020,55,Mass Layoff
155,Fluid Routing Solutions,Big Rapids,4/6/2020,150,Mass Layoff
156,Embassy Suites Auburn Hills,Auburn Hills,3/31/2020,47,Mass Layoff
157,Fairfield Inn Muskegon,Muskegon,3/31/2020,13,Mass Layoff
158,Graduate Ann Arbor,Ann Arbor,3/31/2020,106,Mass Layoff
159,Hampton Inn Ann Arbor North,Ann Arbor,3/31/2020,21,Mass Layoff
160,Hampton Inn Grand Rapids,Grand Rapids,3/31/2020,13,Mass Layoff
161,Hampton Inn Muskegon,Muskegon,3/31/2020,13,Mass Layoff
162,Residence Inn Holland,Holland,3/31/2020,13,Mass Layoff
163,Springhill Suites Grand Rapids,Grand Rapids,3/31/2020,20,Mass Layoff
164,Flint West 14,Flint,4/3/2020,38,Plant Closing
165,Ann Arbor 20,Ypsilanti,4/3/2020,73,Plant Closing
166,Cinemark Taylor,Taylor,4/3/2020,51,Plant Closing
167,Double Tree Grand Rapids Airport,Grand Rapids,4/6/2020,95,Mass Layoff
168,Americhem,Grand Rapids,4/6/2020,17,Mass Layoff
169,Eagle Industries Inc.,Wixom,4/7/2020,225,Plant Closing
170,L.O. Eye Care,East Lansing,4/7/2020,73,Mass Layoff
171,Peak Workforce Solutions,Livonia,4/7/2020,30,Mass Layoff
172,General Linen and Uniform Service,Detroit,4/7/2020,62,Mass Layoff
173,SAS Automotive USA,Sterling Heights,4/8/2020,293,Mass Layoff
174,"Vitro Automotive / Pittsburgh Glass Works, LLC",Evart,4/8/2020,125,Plant Closing
175,"Prospect Airport Services, Inc",Romulus,4/9/2020,132,Mass Layoff
176,Precision Vehicle Solutions,Wayne,4/9/2020,180,Mass Layoff
177,Morbark,Winn,4/9/2020,183,Mass Layoff
178,"Beasley Media Group, LLC",Ferndale,4/9/2020,26,Mass Layoff
179,"Quality Air Heating and Cooling, Inc.",Grand Rapids,4/10/2020,212,Mass Layoff
180,"Agrati, Inc.",Southfield,4/10/2020,15,Mass Layoff
181,"Pace Industries, Inc.",Muskegon,4/8/2020,456,Mass Layoff
182,"Yazaki North America, Inc.",Canton,4/10/2020,56,Mass Layoff
183,"Yazaki North America, Inc.",Canton,4/10/2020,622,Mass Layoff
184,"Yazaki North America, Inc.",Canton,4/10/2020,45,Mass Layoff
185,Yazaki North America,Petoskey,4/10/2020,126,Mass Layoff
186,"ASC Industries, Inc.",Rochester Hills,4/10/2020,5,Mass Layoff
187,"G2 Secure Staff, LLC",Detroit,4/13/2020,68,Mass Layoff
188,Ameriwood Industries,Dowagiac,4/13/2020,79,Plant Closing
189,Pokagon Gaming Authority dba Four Winds Casinos,New Buffalo,4/13/2020,"1,489",Mass Layoff
190,"Hooters of America, LLC",Atlanta,4/13/2020,85,Mass Layoff
191,"Gill Industries, Inc.",Walker,4/13/2020,64,Mass Layoff
192,"Samsung SDI America, Inc.",Auburn Hills,4/13/2020,38,Mass Layoff
193,Bear Down Logistics Walker East Facility,Walker,4/13/2020,24,Plant Closing
194,Schafer Woodworks Inc.,Tecumseh,4/14/2020,25,Mass Layoff
195,Wolverine Corporation,St. Joseph,4/15/2020,58,Mass Layoff
196,Wolverine Corporation,Stevensville,4/15/2020,12,Mass Layoff
197,The Tile Shop,Ottawa Lake,4/16/2020,55,Mass Layoff
198,"AVIS Budget Car Rental, LLC",Detroit,4/17/2020,159,Mass Layoff
199,"Williams International, LLC.",Pontiac,4/20/2020,224,Mass Layoff
200,"Williams International, LLC.",Commerce Township,4/20/2020,24,Mass Layoff
201,Marsh Plating Corp.,Ypsilanti,4/20/2020,73,Mass Layoff
202,Marsh Plating-Willow Run,Ypsilanti,4/20/2020,15,Mass Layoff
203,Finishing Services Inc.,Ypsilanti,4/20/2020,9,Mass Layoff
204,"Avis Budget Car Rental, LLC",Grand Rapids,4/20/2020,28,Mass Layoff
205,Tilden Mining Company LLC,Ishpeming,4/21/2020,687,Mass Layoff
206,Founders Grand Rapids Taproom and Company Store,Grand Rapids,4/21/2020,111,Mass Layoff
207,Founders Detroit Taproom,Detroit,4/21/2020,52,Mass Layoff
208,"Dura Automotive Systems, LLC - Auburn Hills",Auburn Hills,4/21/2020,212,Plant Closing
209,"Dura Automotive, LLC - Fremont",Fremont,4/21/2020,118,Plant Closing
210,Enterprise Holdings,Romulus,4/22/2020,114,Mass Layoff
211,Beaumont Health,Southfield,4/23/2020,"2,900",Mass Layoff
212,"Visionworks, Inc. - Taylor",Taylor,4/23/2020,2,Mass Layoff
213,"Visionworks, Inc. - Rochester Hills",Rochester Hills,4/23/2020,4,Mass Layoff
214,"Visionworks, Inc. - Roseville",Roseville,4/23/2020,9,Mass Layoff
215,"Visionworks, Inc. - Sterling Heights",Sterling Heights,4/23/2020,5,Mass Layoff
216,"Visionworks, Inc. - Novi",Novi,4/23/2020,5,Mass Layoff
217,"Visionworks, Inc. - Canton",Canton,4/23/2020,3,Mass Layoff
218,"Visionworks, Inc. - Lake Orion",Lake Orion,4/23/2020,1,Mass Layoff
219,"Visionworks, Inc. - Allen Park",Allen Park,4/23/2020,3,Mass Layoff
220,"Visionworks, Inc. - Ann Arbor",Ann Arbor,4/23/2020,4,Mass Layoff
221,"Visionworks, Inc. - Southfield",Southfield,4/23/2020,3,Mass Layoff
222,Punchbowl Social LLC,Detroit,4/23/2020,97,Mass Layoff
223,Michigan Maple Block Company,Petoskey,4/27/2020,56,Plant Closing
224,"Bloomin Brands, Inc.",Various,4/27/2020,"2,289",Mass Layoff
225,City of Grand Haven,Grand Haven,4/28/2020,74,Mass Layoff
226,ArcelorMittal,Southfield,4/28/2020,6,Mass Layoff
227,Country Fresh LLC,Livonia,4/29/2020,44,Mass Layoff
228,Hertz,Detroit,4/30/2020,104,Mass Layoff
229,Aludyne,Benton Harbor,4/30/2020,44,Mass Layoff
230,Flint Group Packaging Inks North America Holdings,Three Rivers,4/30/2020,58,Plant Closing
231,AK Steel Dearborn Works,Dearborn,5/4/2020,343,Plant Closing
232,GPI Midwest LLC,White Pigeon,5/4/2020,100,Plant Closing
233,Busche Performance Group,Southfield,4/30/2020,89,Mass Layoff
234,Busche Aluminum Technologies Fruitport,Fruitport,4/30/2020,362,Mass Layoff
235,Great Lakes Specialty Finance Inc.,Statewide,5/5/2020,62,Mass Layoff
236,MGM Grand Detroit,Detroit,5/5/2020,"1,561",Mass Layoff
237,"Aludyne, Inc.",Montague,5/5/2020,82,Mass Layoff
238,Moiron,Sparta,5/7/2020,96,Mass Layoff
239,Embassy Suites by Hilton,Troy,5/7/2020,65,Mass Layoff
240,Marriott Detroit Southfield,Southfield,5/7/2020,61,Mass Layoff
241,Akwel Automotive - Cadillac,Cadillac,5/8/2020,109,Mass Layoff
242,Akwel Automotive - Novi,Novi,5/8/2020,12,Mass Layoff
243,"Sara Lee Frozen Bakery, LLC",Traverse City,5/11/2020,210,Mass Layoff
244,Pettibone/Traverse Lift LLC,Baraga,5/8/2020,36,Mass Layoff
245,Atrium Hospitality,Southfield,5/11/2020,142,Mass Layoff
246,Cox Automotive,Carleton,5/11/2020,144,Mass Layoff
247,"Norma Group, Inc,",Auburn Hills,5/12/2020,82,Plant Closing
248,Enterprise Holdings,Farmington Hills,5/12/2020,32,Mass Layoff
249,Marriott Detroit Livonia Hotel,Livonia,5/12/2020,60,Mass Layoff
250,Genesis Seating,Grand Rapids,5/11/2020,203,Mass Layoff
251,Davidson Plyforms,Grand Rapids,5/11/2020,120,Mass Layoff
252,Grand River Polishing,Spring Lake,5/18/2020,20,Mass Layoff
253,"Gill Industries, Inc.",Grand Rapids,5/18/2020,84,Mass Layoff
254,Marriott Auburn Hills Pontiac at Centerpoint,Pontiac,5/22/2020,101,Mass Layoff
255,Aramark,Warren,5/26/2020,83,Mass Layoff
256,Walbro LLC,Cass City,5/27/2020,164,Mass Layoff
257,First Student,Pontiac,5/28/2020,87,Plant Closing
258,The Townsend Hotel,Birmingham,5/28/2020,60,Mass Layoff
259,Wireless Vision,Bloomfield Hills,6/1/2020,37,Mass Layoff
260,Westin Detroit Metropolitan Airport,Detroit,6/2/2020,197,Mass Layoff
261,Detroit Marriott Troy,Troy,6/3/2020,134,Mass Layoff
262,Howmet Aerospace,Whitehall,6/3/2020,625,Mass Layoff
263,The Dearborn Inn,Dearborn,6/4/2020,177,Mass Layoff
264,The Westin Book Cadillac Detroit,Detroit,6/4/2020,227,Mass Layoff
265,Courtyard by Mariott Detroit,Detroit,6/9/2020,54,Mass Layoff
266,Marriott Detroit Renaissance Center,Detroit,6/9/2020,450,Mass Layoff
267,"Creative Dining Services, Inc.",Grand Rapids,6/8/2020,123,Mass Layoff
268,Greektown Casino Hotel,Detroit,6/15/2020,912,Mass Layoff
269,US Steel - Great Lakes Works,Ecorse,6/8/2020,220,Plant Closing
270,"Glasstender, Inc.",Saginaw,6/8/2020,,Mass Layoff
271,Marriott Ypsilanti At Eagle Crest,Ypsilanti,6/15/2020,125,Mass Layoff
272,Jacobsen/Daniels,Ypsilanti,6/15/2020,24,Mass Layoff
273,Continental,Troy,6/15/2020,72,Mass Layoff
274,Continental,Van Buren,6/15/2020,72,Mass Layoff
275,Staples,Livonia,6/18/2020,61,Mass Layoff
