,company_name,location,notice_date,layoff_date,employees_affected
0,TRDI/Holloman AFB Dining Facility,Alamogordo,10/25/22,1/1/23,27
1,Brinks Home,Rio Rancho,1/4/23,3/5/23,2
2,HealthHelp,Hobbs,1/23/23,3/24/23,1
3,Walmart,Albuquerque,2/8/23,5/19/23,294
4,"Interceramic, Inc.",Santa Teresa,2/23/23,3/31/23,14
5,"Aspiration Partners, Inc.",Santa Fe,3/24/23,5/23/23,1
6,David's Bridal,Albuquerque,1/0/00,4/14/23,
7,"Progrexion Teleservices, Inc.",Tierra Amarilla,4/20/2023,4/5/2023,53
8,"Progrexion Teleservices, Inc.",Tierra Amarilla,4/20/23,4/5/23,53
9,"Bitwise Industries, Inc.",Las Cruces,6/14/23,6/14/23,5
10,"Tattooed Chef, Inc.",Albuquerque,6/30/23,8/30/23,272
11,"Kevothermal, LLC",Albuquerque,7/13/23,9/15/23,118
12,Ready Responders,Albuquerque,18-Feb-2022,16-Feb-2022,2
13,Westmoreland San Juan Mining,Aztec/ Farmington,1-Feb-2022,1-Apr-2022,8
14,Ready Responders,Albuquerque,18-Feb-2022,2/16/22,2
15,Amentum Hollomon AFB,Alamogordo,13-Apr-2022,5-May-2022,128
16,First Vehiecle Services,Roswell,16-May-2022,31-May-2022,13
17,Westmoreland San Juan Mining,Aztec/ Farmington,1-Jun-2022,1-Aug-2022,21
18,"Thomas L. Cardella & Associates, Inc.",Alamogordo,22-Jun-2022,30-Jun-2022,95
19,PNM San Juan Generating Station,Waterflow/Farming ton,07/25/22,9/30/22,98
20,Westmoreland San Juan Mining,Waterflow/Farming ton,08/03/22,10/3/22,63
21,AIMS Companies,Waterflow/Farming ton,08/08/22,10/8/22,70
22,Westmoreland San Juan Mining,Waterflow/Farming ton,09/01/22,11/1/22,86
23,Amentum/Hollomon AFB,Alamogordo,08/29/22,11/8/2022,149
24,BayFirst Financial,Albuquerque,9/23/2022,11/25/2022,58
25,TRDI/Holloman AFB Dining Facility,Alamogordo,10/25/22,1/1/23,27
26,Science Applications International Corp. (SAIC),Albuquerque,16-Feb-2021,9-Apr-2021,269
27,The Geo Group,Santa Rosa,17-Jun-2021,2-Aug-2021,94
28,Jacobs,Alamogordo,2-Aug-2021,2-Aug-2021,253
29,BASIC Energy Services,Artesia,14-Aug-2021,19-Oct-2021,73
30,CoreCivic,Grants,2-Sep-2021,1-Nov-2021,123
31,Santa Fe Farms,Santa Fe,29-Oct-2021,1-Dec-2021,6
32,Odle Management Group LLC,Albuquerque,29-Oct-2021,25-Dec-2021,56
33,Tri-State G&T Escalante Generating Station,Prewitt,9-Jan-2020,12-Mar-2020,100
34,CONCENTRIX CVG Corporation,Rio Rancho,22-Jan-2020,26-Mar-2020,200
35,OMNI Corporation,Artecia,28-Jan-2020,31-Mar-2020,55
36,"FTS Intenrational Services, LLCs",Hobbs,16-Mar-2020,16-Mar-2020,85
37,SPIRE Hospitality,Albuquerque,25-Mar-2020,24-Mar-2020,50
38,Shamrock Food Company,Albuquerque,1-Apr-2020,1-Apr-2020,74
39,Tesuque Casino,Santa Fe,1-Apr-2020,1-Apr-2020,180
40,CALFRAC Well Services,Artecia,16-Apr-2020,16-Apr-2020,106
41,CP Energy,Jal,23-Apr-2020,23-Apr-2020,27
42,Vision Works,Albuquerque,23-Apr-2020,23-Apr-2020,23
43,Enterprise Holdings,Albuquerque,24-Apr-2020,23-Apr-2020,185
44,Free McMoran Inc. Chino Mine,Silver City,26-Apr-2020,26-Apr-2020,825
45,Jasper Ventures,Loving,13-May-2020,8-May-2020,70
46,Raytheon Missiles & Defense,Albuquerque,19-May-2020,18-Jul-2020,200
47,KETER US,Belen,29-May-2020,29-May-2020,63
48,Empereon Constar,Las Curces,29-May-2020,31-May-2020,128
49,505 Southwestern,Albuquerque,10-Jun-2020,12-Aug-2020,95
50,ZIA PARK,Hobbs,12-Jun-2020,15-Sep-2020,19
51,SPIRE Hospitality,Albuquerque,26-Jun-2020,1-Jul-2020,64
52,BASIC Energy Services,Artesia,10-Jul-2020,17-Mar-2020,112
53,Sunland Park Racetrack & Casino,Sunland Park,20-Jul-2020,20-Sep-2020,259
54,"BW Gas & Convenience Holdings, LLC",Clovis,28-Jul-2020,26-Sep-2020,19
55,Albuquerque Publishing Company,Albuquerque,11-Aug-2020,1-Oct-2020,64
56,"CTS Electronic Components, Inc.",Albuquerque,24-Aug-2020,30-Nov-2020,72
57,Marathon Petroleum Company LP,Gallup,26-Aug-2020,5-Oct-2020,290
58,Dave & Buster's,Albuquerque,10-Sep-2020,8-Nov-2020,60
59,Southwest Airlines Co.,Albuquerque,3-Dec-2020,15-Mar-2020,83
60,Desert Hills of New Mexico,Albuquerque,25-Feb-19,01-Apr-19,242
61,Verizon Wireless,Albuquerque,29-Mar-19,17-May-19,257
62,Volt Management Corp.,Las Cruces,7-Apr-19,7-Jun-19,50
63,Sitel Group,Albuquerque,29-Apr-19,30-Nov-19,535
64,CONCENTRIX CVG Corporation,Las Cruces,13-May-19,19-Jul-19,189
65,Honeywell Aerospace,Albuquerque,31-Jul-19,30-Sep-19,177
66,The Geo Group,Clayton,08-Aug-19,01-Nov-19,115
67,CONCENTRIX CVG Corporation,Las Cruces,23-Sep-19,30-Nov-19,65
68,Centurion,New Mexico,9/26/2019,11/25/2019,344
69,Halliburton,Farmington,10/10/2019,10/10/2019,78
70,Leidos,Albuquerque,10/22/2019,12/31/2019,92
71,XTO Energy Inc.,Aztec,24-Jan-18,29-Mar-18,232
72,Lockheed Martin Corporation Rotary & Mission Systems,Albuquerque,29-Jan-18,31-Jan-18,62
73,Convergys,Rio Rancho,26-Feb-18,30-Apr-18,151
74,"Aptim Services, LLC",Fruitland,06-Apr-18,12-May-18,287
75,Sitel,Albuquerque,06-Apr-18,06-Apr-18,2
76,Convergys,Rio Rancho,24-Apr-18,30-Jun-18,107
77,Williams,Farmington,01-Aug-18,01-Oct-18,Not Disclosed
78,Molina Healthcare,Albuquerque,01-Oct-18,03-Dec-18,381
79,Sitel,Las Cruces,05-Jan-17,26-Mar-17,412
80,Fluor Federal Solutions LLC - Albuquerque Job Corps Center,Albuquerque,02-Feb-17,31-Mar-17,170
81,Conduent,Alamogordo,10-Feb-17,11-Apr-17,80
82,CoreCivic/Torrance County Detention Facility,Estancia,24-Jul-17,23-Sep-17,204
83,"Eclipse Aerospace, Inc.",Albuquerque,19-Oct-17,19-Oct-17,76
84,Smith's Food & Drug Store,Socorro,1/19/2016,1/19/2016,61
85,Sprint,Rio Rancho,1/22/2016,1/22/2016,406
86,Coca-Cola Refreshments,Portales,1/25/2016,3/25/2016,52
87,Maslow Media Group,Albuquerque,2/18/2016,4/30/2016,1
88,Caterpillar Emissions Solutions,Santa Fe,2/22/2016,5/1/2016,43
89,Devon Energy Corp,Artesia,2/29/2016,7/31/2016,?
90,Alorica,Albuquerque,3/4/2016,5/8/2016,160
91,"AVIS/Budget Car Rental Service, Inc.",Albuquerque,4/5/2016,6/7/2016,58
92,Albertsons Food Store,Rio Rancho,4/15/2016,6/18/2016,81
93,INTREPID POTASH,Carlsbad,5/9/2016,5/11/2016,300
94,Sun Fab Industrial Contracting,Gallup,21-Jun-16,19-Aug-16,11
95,AECOM,Holloman AFB,29-Jul-16,30-Sep-16,?
96,CCA,Milan,29-Jul-16,01-Oct-16,245
97,Lockheed Martin,Albuquerque,01-Aug-16,30-Sep-16,327
98,"High Desert Family Services, Inc",Artesia,12-Aug-16,15-Aug-16,61
99,Walmart,Espanola,12-Sep-16,19-Sep-16,353
100,Hotel Cascada,Albuquerque,19-Sep-16,08-Oct-16,108
