,company_name,location,notice_date,layoff_date,employees_affected,Address,Closure,Layoff,Permanent Reduction
0,Ball Advanced Aluminum Technologies,Verona,11/01/2023,12/31/2023,73,56 Dunsmore Road,Yes,No,No
1,Cygnus Home Service,Chester,10/25/2023,12/15/2023,9,13100 Ramblewood Drive,Yes,No,No
2,"NE Virginia Emergency Physicians, LLC",Fairfax,10/24/2023,12/31/2023,137,3300 Gallows Road,No,Yes,No
3,"Morgan Olson, LLC",Ringgold,10/23/2023,12/22/2023,435,100 Morgan Olson Way,No,Yes,No
4,BioSteel Sports Nutrition (Canopy Group),Verona,09/14/2023,09/14/2023,79,33 Lakeview Court,Yes,No,No
5,HII Mission Technologies (Alion Technology),Norfolk,09/12/2023,09/29/2023,157,"5360 Robinhood Road, Suite 300",No,Yes,No
6,"Thriveworks Administrative Services, LLC",Lynchburg,09/11/2023,11/30/2023,3,"1000 Jefferson Street, Suite 2C",No,Yes,No
7,Giant Delivers,Manassas,08/28/2023,10/21/2023,72,"7413 Cushin Road, Suite 160",Yes,No,No
8,CVS Health,Ashland,08/18/2023,10/21/2023,43,9555 Kings  Charter Drive,Yes,No,No
9,WayForth,Richmond,08/11/2023,08/11/2023,78,"1518 Willow Lawn Drive, Suite 300",No,Yes,No
10,Parkdale,Hillsville,08/10/2023,10/09/2023,326,1 Advance Technology Drive,Yes,No,No
11,CTR Management Group LLC,Tysons,07/31/2023,08/30/2023,93,"1775 Tysons Blvd., 5th Floor",Yes,No,No
12,Yellow Trucking (YRC Freight) Teamsters Local 822,Chesapeake,07/30/2023,07/30/2023,37,1313 Cavalier Boulevard,Yes,No,No
13,Yellow Trucking (YRC Freight) Teamsters Local 29,Fishersville,07/30/2023,07/30/2023,24,53 Expo Road,Yes,No,No
14,Yellow Trucking (YRC Freight) Teamsters Local 639,Manassas,07/30/2023,07/30/2023,23,10451 Colonial Court,Yes,No,No
15,Yellow Trucking (YRC Freight) Teamsters Local 592,Chesterfield,07/30/2023,07/30/2023,70,9600 Express Lane,Yes,No,No
16,Yellow Trucking (YRC Freight) Teamsters Local 171,Roanoke,07/30/2023,07/30/2023,24,"1665 Seibel Drive, NE",Yes,No,No
17,QOMPLX,Tysons,07/20/2023,08/01/2023,60,"1775 Tysons Blvd., Suite 800",Yes,No,No
18,"Portfolio Recovery Associates, LLC (PRA Group Inc.)","Danville,",07/18/2023,10/20/2023,123, 119 Cane Creek Blvd ,Yes,No,No
19,"Wellmore Energy Company, LLC (Black Watch Operations)", Grundy,07/11/2023,09/10/2023,1,1209 Old Rock Road,No,Yes,No
20,"Wellmore Energy Compnay, LLC (Black Watch Shop and Central Warehouse)",Big Rock,07/11/2023,09/10/2023,3,1395 BD Shop Road,No,Yes,No
21,"Wellmore Energy Company, LLC (Company Trucks, Safety and Engineering)",Grundy,07/11/2023,09/10/2023,12,1073 Riverview Street,No,Yes,No
22,"Wellmore Energy Company, LLC (Elk Creek) ",Hurley,07/11/2023,09/10/2023,58,2493 Elk Creek Drive,No,Yes,No
23,"Wellmore Energy Company, LLC (Laboratory)",Big Rock,07/11/2023,09/10/2023,2,1236 Home Creek Road,No,Yes,No
24,"Wellmore Energy Company, LLC (Paw Paw 2 North)",Hurley,07/11/2023,09/10/2023,20,16721 Hurley Road,No,Yes,No
25,"Wellmore Energy Company, LLC (Paw Paw 2 South)",Big Rock,07/11/2023,09/10/2023,39,3113 Old Rock Lick Road,No,Yes,No
26,"Wellmore Energy Company, LLC (Surface Minerals) ",Grundy,07/11/2023,09/10/2023,15,2845 Convict Hollow Road,No,Yes,No
27,Walmart Neighborhood Market (Store 3885),Bentonville,07/11/2023,10/06/2023,98,702 SW 8th Street,Yes,No,No
28,"Compass Group USA, Inc",McLean,06/30/2023,09/01/2023,220,1600 Capital One Drive,No,Yes,No
29,"VIRTEX PPI/Time Zero, Inc.  (Waynesboro, VA Plant)",Austin,06/21/2023,08/21/2023,76,16310 Bratton Lane,Yes,No,No
30,"Marine Hydraulics International, LLC (MHI)",Norfolk,06/19/2023,08/21/2023,139,543 East Indian River Road,No,Yes,No
31,INMET Mining,Knoxville,06/16/2023,06/22/2023,258,144E Market Place Blvd,Yes,No,No
32,The Yankee Candle Company Inc.,Blairs,06/16/2023,07/31/2023,58,200 Toy Lane ,Yes,No,No
33,"Watermark Retirement Communities, LLC",Tucson,06/09/2023,08/08/2023,94,"4578 N. 1st Ave., Suite 160",No,Yes,No
34,"Science Systems and Applications, Inc. (SSAI)",Lanham,04/26/2023,05/31/2023,199,"10210 Greenbelt Road, Ste. 600",No,Yes,No
35,Dollar Tree - Chesapeake,Chesapeake,04/19/2023,06/23/2023,90,500 Volvo Parkway,No,Yes,No
36,"American Anesthesiology Association of Virginia, Inc",Falls Church,04/11/2023,06/11/2023,172,3300 Gallows Road,Yes,No,No
37,National Institute of Aerospace,Hampton,03/31/2023,05/31/2023,65,100 Exploration Way,No,Yes,No
38,Gannett,McLean,03/16/2023,03/16/2023,44,7950 Jones Branch Drive,No,Yes,No
39,Target-T3295 Store,Falls Church,03/13/2023,05/13/2023,28,500 S. Washington Street,Yes,No,No
40,"Tyson Foods, Inc.",Springdale,03/13/2023,05/12/2023,612,2200 W. Don Tyson Parkway,Yes,No,No
41,"Tyson Foods, Inc",Springdale,03/13/2023,05/12/2023,60,2200 W. Don Tyson Parkway,Yes,No,No
42,Morrison Healthcare (Maryview Medical Center),Portsmouth,03/13/2023,05/07/2023,74,3636 High Street,No,Yes,No
43,"Golden SVCS, LLC",Oak Ridge,01/11/2023,02/28/2023,26,1936 Oak Ridge Turnpike,Yes,No,No
44," Specialized Bicycle Components, Inc",Morgan Hill,01/11/2023,01/13/2023,1,15130 Concord Circle,No,Yes,No
45, American  Electronics Inc. (Amelex),Arlington,01/05/2023,03/10/2023,78,"1225 South Clark St, Suite 500",No,Yes,No
46,Custom Ink,Charlottesville,01/03/2023,03/04/2023,175,"1180 Seminole Trail, Suite 147",Yes,No,No
47,"DTSV, Inc.",Arlington,12/01/2022,01/31/2023,74,2200 Crystal Drive,No,Yes,No
48,Newell Brands (Yankee Candle Co. Inc.),Forest,11/01/2022,12/31/2022,187,1000 Dillard Drive,Yes,No,No
49,AM LLC,Leesburg,10/31/2022,12/30/2022,25,"161 Fort Even Rd NE, Suite 250",No,Yes,No
50,"Starry, Inc",Arlington,10/20/2022,10/21/2022,53,"3330 Washington Blvd, Suite 600",No,Yes,No
51,Golden Services. LLC ,Fairfax,10/18/2022,12/01/2022,34,2675 Prosperity Avenue,No,Yes,No
52,Genesis Logistics Inc.,Franconia,10/18/2022,01/15/2022,86," 6306 Gravel Road, Section 1, Building 3",Yes,No,No
53,Genesis Logistics,Richmond,10/18/2022,08/12/2023,35,6601 S. Laburnum Avenue,Yes,No,No
54,Helpware Inc.,Martinsville,10/17/2022,09/23/2022,127,300 Franklin Street Suite 228,Yes,No,No
55,VSE Corporation,Alexandria ,10/04/2022,11/30/2022,180,6348 Walker Lane ,No,Yes,No
56,First Transit,Richmond,08/05/2022,12/01/2022,95,301 East Belt Blvd,No,Yes,No
57,Sodexo,Roanoke,06/21/2022,06/30/2022,98,201 Campbell Ave SW,Yes,No,No
58,Amentum (PAE Shared Services LLC),Virginia Beach,06/15/2022,08/11/2022,42,601 Oceana Boulevard Bldg 304,No,Yes,No
59,Liberty Source PBC,Hampton,06/10/2022,06/30/2022,76,355 Fenwick Road,No,Yes,No
60,"ID.me, Inc. ","McLean,",06/07/2022,06/07/2022,54,"8280 Greensboro Drive, Suite 800",No,Yes,No
61,VIPdesk Connect,Alexandria,05/27/2022,07/29/2022,6,"908 King Street, Ste 400W",No,Yes,No
62,AM LLC,Leesburg,05/05/2022,05/04/2022,175,"161 Fort Evans Road, NE, Suite 250",No,Yes,No
63,SSB Manufacturing Company,Fredericksburg,04/29/2022,06/30/2022,128,9601Cosner Drive,Yes,No,No
64,Imagine One Technology & Management ,Norfolk,04/28/2022,06/28/2022,187,"2510 Walmer Ave., Ste. A",No,Yes,No
65,CACI NAVSEA03S Digital & Industrial Operations,Norfolk,04/28/2022,06/28/2022,80,2510 Walmer Avenue,No,Yes,No
66,Crothall Healthcare,"Chesapeake,",04/14/2022,06/30/2022,91,736 North Battlefield Boulevard,No,Yes,No
67,Lakeside Book Company,Harrisonburg,04/05/2022,06/03/2022,80,1433 Pleasant Valley Road,Yes,No,No
68,Packers Sanitation Services Inc. (PSSI),Smithfield,03/31/2022,03/03/2022,85,601 North Church Street,No,Yes,No
69,"CACI Technologies, LLC",Norfolk,03/07/2022,05/06/2022,102,"NAVSUP FLC, Code 200 1968 Gilbert Street",No,Yes,No
70,"GALA North America, Inc.","Dublin,",03/07/2022,03/07/2022,82, 3994 Pepperell Way,No,Yes,No
71,Peloton,Alexandria,02/08/2022,02/08/2022,81,"6304 Gravel Ave, Suite E",Yes,No,No
72, ABM Industry Group Inc.,Alexandria,01/19/2022,02/28/2022,85,103 Clermont Ave,No,Yes,No
73,ABM Industry Group Inc.,Alexandria,01/19/2022,02/28/2022,27,103 Clermont Ave,No,Yes,No
74,ABM Industry Group Inc.,Alexandria,01/19/2022,02/28/2022,25,103 Clermont Ave,No,Yes,No
75,Serco Inc.,Clintwood,01/19/2022,03/31/2022,163,539 Technology Drive,Yes,No,No
76,The Logistics Company,Fort Eustis,01/07/2022,03/11/2022,47,1411 Washington Boulevard,No,Yes,No
77,Odle Management Group,Monroe,10/29/2021,12/25/2021,130,1073 Father Judge Road,No,Yes,No
78,Essex Bank,Henrico,10/29/2021,12/28/2021,51,"9954 Mayland Drive, Suite 2100",Yes,No,No
79,Transdev,Lorton,10/26/2021,12/29/2021,137,7900 Cinder Bed Road,No,Yes,No
80,The Logistics Company,Ft Eustis,10/08/2021,12/07/2021,45,1411 Washingtn Blvd,No,Yes,No
81,Five Star U Street Parking (DCA),Arlington,07/30/2021,09/30/2021,109,2401 Smith Blvd,No,Yes,No
82,Five Star U Street Parking (IAD),Dulles,07/30/2021,09/30/2021,106,1 Saarinen Cir,No,Yes,No
83,The Logistics Company,Fayetteville,07/09/2021,09/07/2021,41,3400 Walsh Parkway,No,Yes,No
84,The Logistics Company,Fayetteville,07/09/2021,09/07/2021,119,3400 Walsh Parkway,No,Yes,No
85,Capital One,Richmond,06/30/2021,09/07/2021,147,15000 Capital One Drive,No,Yes,No
86,Genetworx,Glen Allen,06/18/2021,06/18/2021,31,4060 Innslake Drive,No,Yes,No
87,Genetworx,Glen Allen,06/18/2021,06/18/2021,24,4144 Innslake Drive,No,Yes,No
88,Genetworx,Glen Allen,06/18/2021,06/18/2021,6,1000 Technology Park Drive,No,Yes,No
89,General Dynamics Information Technology (GDIT),Chantilly,06/16/2021,08/16/2021,73,15036 Conference Center Drive,No,Yes,No
90,Smithfield Fresh Meats Corporation (Pet Foods),Smithfield,06/07/2021,08/06/2021,59,501 North Church Street,No,Yes,No
91,OMNIPLEX World Services,Chantilly,06/04/2021,06/30/2021,258,"14151 Park Meadow Drive, Suite 300",No,Yes,No
92,Marriott - Key Bridge,Arlington,05/27/2021,07/27/2021,89,1401 Lee Highway,No,Yes,No
93,Rosetta Stone,Arlington,05/11/2021,07/11/2021,97,"1621 N Kent St, Suite 1200",No,Yes,No
94,Rosetta Stone,Harrisonburg,05/11/2021,07/11/2021,64,135 West Market Street,No,Yes,No
95,"PAE Shared Services, LLC",Norfolk,04/30/2021,06/30/2021,48,1224 Pocahontas Street ,No,Yes,No
96,Global Safety Textiles (GST),Sout Hill,04/29/2021,06/30/2021,130,1556 Montgomery Street,Yes,No,No
97,"Perspecta, Inc.",Chantilly,04/16/2021,06/04/2021,374,14295 Park Meadow Drive,No,Yes,No
98,Perspecta Inc.,Chantilly,04/16/2021,06/04/2021,107,14295 Park Meadows Drive,No,Yes,No
99,"Kepro (Keystone Peer Review Organization, Inc)",Nashville,04/12/2021,07/12/2021,9,801 Royal Parkway,Yes,No,No
100,General Dynamics Information Technology (GDIT),Fairfax,03/30/2021,05/28/2021,180,3211 Jermantown Road,No,Yes,No
101,Southeast Frozen Foods,Miramar,03/25/2021,03/24/2021,68,3261 Executive Way,Yes,No,No
102,The  J.M. Smuckers Company,Orrville,03/23/2021,04/01/2022,76,One Strawberry Lane,Yes,No,No
103,Hanesbrand Inc.,Stuart,03/16/2021,07/31/2021,146,138 Elamsville Road,Yes,No,No
104,"American Green Building Maintenance, Inc.",Aldie,02/03/2021,03/31/2021,150,23937 Mill Wheel Place,No,Yes,No
105,First Transit,Cincinnati,02/01/2021,04/01/2021,68,600 Vine Street,No,Yes,No
106,Aramark,Philadelphia,01/29/2021,01/01/2021,98,*Due to COVID-19,No,Yes,No
107,Flying Food Group,Chicago,01/29/2021,04/01/2021,74,"212 N. Sangamon Street, Suite 1A",No,Yes,No
108,Aramark,Chesapeake,01/29/2021,01/29/2021,17,*Due to COVID-19,No,Yes,No
109,Air Wisconsin Airline ,Appleton,01/28/2021,04/01/2021,140,"W6390 Challenger Drive, Suite 203",No,Yes,No
110,"Transdev, Inc.",Leesburg,01/27/2021,03/31/2021,112,42031 Loudoun Center Place,No,Yes,No
111,Genworth,Richmond,01/26/2021,03/27/2021,95,6620 West Broad Street,No,Yes,No
112,Wells Fargo,Charlotte,01/21/2021,03/21/2021,320,"8740 Research Drive, 2nd floor",No,Yes,No
113,"Joy Global Underground Mining, LLC. (Komatsu Mining Corp. Group)",Bluefield,01/11/2021,03/15/2021,128,1081 Hockman Pike,Yes,No,No
114,"Wellmore Coal Company, LLC",Grundy,12/22/2020,12/22/2020,61,1073 River View Street,Yes,No,No
115,Rolls-Royce North America,Prince George,12/16/2020,03/05/2021,187,8800 Wells Station Road,Yes,No,No
116,Southwest Airlines Co.,Dallas,12/03/2020,03/15/2021,60,*Due to COVID-19,No,Yes,No
117,"TitleMax of Virginia, Inc. and TMX Finance of Virginia, Inc.",Savannah,11/30/2020,01/16/2021,38,"15 Bull Street, Suite 200",Yes,No,No
118,"TitleMax of Virginia, Inc. and TMX Finance of Virginia, Inc. ",Savannah,11/30/2020,01/16/2021,55,"15 Bull Street, Suite 200",Yes,No,No
119,"TitleMax of Virginia, Inc. and TMX Finance of Virginia, Inc.",Savannah,11/30/2020,01/16/2021,46,"15 Bull Street, Suite 200",Yes,No,No
120,"TitleMax of Virginia, Inc. and TMX Finance of Virginia, Inc.",Savannah,11/30/2020,01/16/2021,17,"15 Bull Street, Suite 200",Yes,No,No
121,"TitleMax of Virginia, Inc. and TMX Finance of Virginia, Inc.",Savannah,11/30/2020,01/16/2021,10,"15 Bull Street, Suite 200",Yes,No,No
122,Washington Metropolitan Area Transit Authority (WMATA),Washington,11/23/2020,01/23/2020,1141,"600 Fifth Street, NW",No,Yes,No
123,InSite Wireless,Alexandria,11/18/2020,01/29/2021,32,"1199 N Fairfax Street, Suite 700",No,Yes,No
124,National Conference Center,Leesburg,11/18/2020,01/18/2021,180,*Due to COVID-19,No,Yes,No
125,Sur La Table,Richmond,11/17/2020,09/01/2020,29,*Due to COVID-19,No,Yes,No
126,Sur La Table,Alexandria,11/17/2020,09/01/2020,29,*Due to COVID-19,No,Yes,No
127,The Airlie Hotel,Warrenton,10/26/2020,03/18/2020,95,*Due to COVID-19,No,Yes,No
128,RGI Laundry (Goodwill Rappahannock),Fredericksburg,10/23/2020,12/31/2020,20,480 Central Road,No,Yes,No
129,VCU Health System,Richmond,10/15/2020,12/19/2020,635,"1012 E. Marshall St., 3rd Floor, Room 303",No,Yes,No
130,"Kinyo Virginia Beach, INC",Newport News,10/12/2020,12/31/2020,59,290 Enterprise Drive,No,Yes,No
131,SMI Hotel Group,Richmond,10/06/2020,04/01/2020,77,*Due to COVID-19,No,Yes,No
132,LE TOTE Inc,New York,10/01/2020,12/01/2020,49,"250 Vesey Street, 22nd Floor",Yes,No,No
133,Busch Gardens Williamsburg,Williamsburg,09/30/2020,04/01/2020,1810,*Due to COVID-19,No,Yes,No
134,Omni Richmond Hotel,Richmond,09/18/2020,03/19/2020,103,*Due to Covid-19,No,Yes,No
135,Compass/Flik (dba UVA Inn at Darden),Charlottesville,09/18/2020,09/30/2020,56,*Due to COVID-19,No,Yes,No
136,Amentum,Virginia Beach ,09/17/2020,10/26/2020,91,"601 Oceana Boulevard, BLDG 330",No,Yes,No
137,OMNI Charlottesville Hotel,Charlottesville,09/17/2020,03/18/2020,101,*Due to COVID-19,No,Yes,No
138,P.F. Chang's China Bistro,Scottsdale,09/17/2020,03/17/2020,306,*Due to Covid-19,Yes,No,No
139,P.F. Chang's China Bistro,Scottsdale ,09/17/2020,03/17/2020,75,*Due to Covid-19,No,Yes,No
140,Avis Budget Car Rental,Parsippany,08/31/2020,09/02/2020,27,379 Parsippany Road ,No,Yes,No
141,Avis Budget Car Rental,,08/31/2020,09/04/2020,4, 379 Parsippany Road,No,Yes,No
142,Avis Budget Group,Parsippany,08/31/2020,09/04/2020,86,379 Parsippany Road,No,Yes,No
143,Marriott - Richmond,Richmond,08/28/2020,08/31/2020,50,500 East Broad Street,No,Yes,No
144,"PostalMile, Inc. ",Duluth,08/11/2020,08/28/2020,31," 2750 Premiere Pkwy, Suite 900",No,Yes,No
145,PostalMile Inc,Duluth,08/11/2020,08/28/2020,61,"2750 Premiere Pkwy, Ste 900",No,Yes,No
146,Sodexo,Williamsburg,07/31/2020,08/31/2020,80,1100 Executive Drive,No,Yes,No
147,ExpressJet Airlines LLC,Richmond,07/17/2020,10/01/2020,36,*Due to COVID-19,No,Yes,No
148,PSA Airlines (ORF),Norfolk,07/17/2020,10/01/2020,87,2200 Norview Avenue,No,Yes,No
149,PSA Airlines (DCA),Arlington,07/17/2020,10/01/2020,270,*Due to COVID-19,No,Yes,No
150,Paradise Lagardere,Dulles,07/16/2020,03/15/2020,330,*Due to COVID-19,No,Yes,No
151,"Yoga Works, Inc.",Arlington,07/14/2020,10/01/1973,73,*Due to COVID-19,No,Yes,No
152,"Yoga Works, Inc",Fairfax,07/09/2020,10/01/2020,42,*Due to Covid-19,No,Yes,No
153,United Airlines (Ronald Reagan Washington National Airport),Arlington,07/08/2020,10/01/2020,116,2401 Smith Boulevard,No,Yes,No
154,United Airlines (Washington Dulles International Airport),Dulles,07/08/2020,10/01/2020,3036,1 Saarinen Circle,No,Yes,No
155,"Delaware North Companies, Inc. ",Buffalo,06/30/2020,03/30/2020,80,*Due to COVID-19,No,Yes,No
156,Swissport (Ronald Reagan Washington National Airport),Arlington,06/22/2020,06/22/2020,10,*Due to COVID-19,No,Yes,No
157,Swissport (Dulles International Airport),Dulles,06/22/2020,06/22/2020,479,*Due to COVID-19,No,Yes,No
158,The Alexandrian Hotel,Alexandria,06/19/2020,06/11/2020,59,480 King Street,No,Yes,No
159,Hyatt Regency Tysons Corner Center,Tysons Corner,06/19/2020,03/22/2020,54,*Due to COVID-19,No,Yes,No
160,Advance Auto Parts,Roanoke,06/12/2020,08/14/2020,94,5008 Airport Road,No,Yes,No
161,Marriott-Crystal Gateway,Arlington,06/05/2020,03/16/2020,308,*Due to COVID-19,No,Yes,No
162,Marriott-Westfields Washington Dulles-,Chantilly,06/05/2020,03/18/2020,167,*Due to COVID-19,No,Yes,No
163,"Marriott Hotel Services, Inc. ",Dulles,06/05/2020,03/18/2020,105,*Due to COVID-19,No,Yes,No
164,Tysons Corner Marriott,Vienna,06/05/2020,03/21/2020,120,*Due to COVID-19,No,Yes,No
165,The Ritz Carlton Tysons Corner,McLean,06/05/2020,03/21/2020,344,*Due to COVID-19,No,Yes,No
166,Joy Global Underground Mining (Komatsu Mining Corp. Group),Bluefield,06/05/2020,06/05/2020,71,1081 Hockman Pike,No,Yes,No
167,Marriott -Crystal City at Reagan National Airport,Arlington,06/05/2020,03/16/2020,176,*Due to COVID-19,No,Yes,No
168,Marriott Falls Church Fairview Park,Falls Church,06/04/2020,03/17/2020,164,*Due to COVID-19,No,Yes,No
169,Residence Inn Arlington Pentagon City,Arlington,06/03/2020,03/17/2020,75,*Due to COVID-19,No,Yes,No
170,The Ritz Carlton Pentagon City,Arlington,06/03/2020,03/14/2020,240,*Due to COVID-19,No,Yes,No
171,Residence Inn Arlington Capital View , Arlington ,06/03/2020,03/14/2020,60,*Due to COVID-19,No,Yes,No
172,Courtyard (by Marriott) - Arlington Crystal City/Reagan National Airport,Arlington,06/02/2020,03/08/2020,68,*Due to COVID-19,No,Yes,No
173,Marriott Key Bridge,Arlington,06/02/2020,03/17/2020,202,*Due to COVID-19,No,Yes,No
174,Hyatt Regency-Crystal City,Arlington,06/02/2020,03/13/2020,151,*Due to COVID-19,No,Yes,No
175,NortonLifeLock Inc.,Mountain View,06/01/2020,07/01/2020,6,350 Ellis Street,No,Yes,No
176,Le Meridien Arlington,Arlington,05/29/2020,05/27/2020,44,*Due to COVID-19,No,Yes,No
177,The Westin - Reston Heights,Reston,05/27/2020,05/26/2020,32,*Due to COVID-19,No,Yes,No
178," The Virginian~Pilot Media Companies, LLC ",Virginia Beach,05/26/2020,07/26/2020,131,5429 Greenwich Road,Yes,No,No
179,Hyatt Regency Reston,Reston,05/26/2020,03/17/2020,88,*Due to COVID-19,No,Yes,No
180, Sheraton Pentagon City ,Arlington,05/26/2020,05/26/2020,100,*Due to COVID-19,No,Yes,No
181,"Embassy Suites Tysons Corner (Merritt Hospitality, LLC) ",Vienna,05/25/2020,05/25/2020,42,*Due to COVID-19,No,Yes,No
182,Hilton Alexandria Mark Center,Alexandria,05/22/2020,05/04/2020,177,*Due to COVID-19,No,Yes,No
183, Gate Gourmet Inc. ,Dulles,05/18/2020,02/29/2020,330,44845 Package Court,No,Yes,No
