,company_name,location,notice_date,layoff_date,employees_affected,Address,Closure,Layoff,Permanent Reduction
779,Akima/DTSV,Newport News,04/26/2013,06/30/2013,324,1600 Thimble Shoals Blvd,No,No,No
780,Chatwells School Dining Services,Fredericksburg,04/23/2013,06/06/2013,120,Spotsylvania Public Schools,No,No,No
781,"MV Transportation, Inc.",Dallas,04/12/2013,06/13/2013,110,5910 N. Central Expressway,No,No,No
782,"Northrop Grumman, Information Systems, Intelligence Systems Division ",Reston,03/31/2013,05/31/2013,10,12011 Sunset Hills Road                           ,No,No,No
783,Lockheed Martin,Chesapeake,03/28/2013,05/31/2013,59,1408 Stephanie Way,No,No,No
784,SAIC ,Falls Church,03/22/2013,05/22/2013,150,6565 Arlington Blvd.,No,No,Yes
785,"1859 Historic Hotels, Ltd. (Williamsburg Hospitality House)",Galveston,03/22/2013,05/21/2013,110,P.O. Box 59,No,No,No
786,Kroger Food Stores,Roanoke,03/19/2013,05/21/2013,80,P.O. Box 14002,No,No,No
787,The Examiner,Denver,03/19/2013,06/14/2013,65,Clarity Media Group,No,No,No
788,TRI-ARK,Warminister,03/11/2013,04/30/2013,80,1230 Old York Road,No,No,No
789,"OMNISEC International Security Services, INC.",Arlington,03/08/2013,05/09/2013,99,14151 Park Meadow Drive,No,No,No
790,INOVA,Falls Church,03/07/2013,05/12/2013,438,8110 Gatehouse Road,No,No,No
791,SERCO Inc.*,Reston,03/06/2013,11/30/2012,216,1818 Library Street,No,No,No
792,SERCO Inc.*,Reston,03/06/2013,11/30/2012,75,1818 Library Street,No,No,No
793,Advanced Federal ,Madison,03/01/2013,04/30/2013,72,250 Sun Temple Drive,No,No,No
794,"BAE Systems Norfolk Ship Repair, Inc.*",Norfolk,02/22/2013,11/30/2012,0,750 West Berkley Ave.,No,No,No
795,NSC Technologies Worldwide*,Portsmouth,02/22/2013,11/30/2012,0,660 Mt. Vernon Ave.,No,No,No
796,Stage Stores (Peebles),South Hill,02/20/2013,05/01/2013,50,One Peebles Street,No,No,Yes
797,Advanced Federal Services Corporation,Madison,02/15/2013,03/28/2013,96,250 Sun Temple Drive,No,Yes,No
798,"SunCoke Energy, Inc. (Jewell Coal Mine)",Vansant,02/08/2013,02/09/2013,51,P.O. Box 70,Yes,No,No
799,Alpha Natural Resources (Mill Branch Coal Corp),Wise,02/08/2013,04/09/2013,102,P.O. Box 2560,Yes,No,No
800,"Alpha Natural Resources (Paramont Coal Company Virginia, LLC)",Wise,02/08/2013,04/09/2013,84,P.O. Box 2560,Yes,No,No
801,HSBC,Buffalo,02/07/2013,04/12/2013,164,P.O. Box 2013,Yes,No,No
802,NRG Energy ,Princeton,02/01/2013,02/01/2013,11,211 Carnegie Center,Yes,No,No
803,Serco,Reston,01/25/2013,04/01/2013,82,"1818 Library Street, Suite 1000",No,No,No
804,"International Veneer Company, Inc.",South Hill ,01/14/2013,03/15/2013,100,1551 Montgomery Street,No,Yes,No
805,Liberty Medical Supply,Salem,01/07/2013,02/16/2013,186,2157 Apperson Drive,No,No,No
806,"Home Care Industries, Inc. ",LaCrosse,01/02/2013,01/02/2013,113,350 Golden Eagle Drive,Yes,No,No
807,URS Federal Services,Chantilly,01/02/2013,02/07/2013,24,4800 Westfields Blvd,No,No,Yes
808,Archstone ,Englewood,12/22/2012,02/25/2013,69,9200 East Panorama Circle,No,Yes,No
809,American Management Services (Pinnacle),Seattle,12/21/2012,12/14/2012,66,"2801 Alaskan Way, Suite 200",Yes,No,No
810,"General Dynamics Information Technology, Inc.",Fairfax,12/17/2012,02/28/2013,84,3211 Jermantown Rd.,No,No,Yes
811,Mundy Support Services LLC,Houston,12/13/2012,01/02/2013,124,11150 South Wilcrest Drive,No,Yes,No
812,CDI Marine Company,Virginia Beach,12/03/2012,01/31/2012,55,5700 Ward Avenue,No,Yes,No
813,Masco Cabinetry,Atkins,11/15/2012,01/14/2013,280,686 Mulberry Lane,Yes,No,No
814,Sears,Omaha,11/15/2012,01/15/2013,5,Tucker HR Support Center,No,Yes,No
815,Smithfield,Smithfield,11/12/2012,04/30/2013,388,601 North Church Street,Yes,No,No
816,JELD-WEN-rescinded,Klamath Falls,11/06/2012,12/31/2012,138,3250 Lakeport Blvd,Yes,No,No
817,Target,Gainesville,11/05/2012,02/02/2013,80,13301 Gateway Center Drive,Yes,No,No
818,AGA Service Company dba Allianz Global Assistance,Richmond,11/01/2012,01/04/2013,139,2805 North Parham Road,Yes,No,No
819,SAIC,Reston,11/01/2012,12/28/2012,80,Science Application International Corporation,No,Yes,No
820,DuPont,Richmond,10/30/2012,12/31/2012,64,5200 DuPont Site Road,No,Yes,No
821,"SRA International, Inc.",Fairfax,10/29/2012,01/01/2013,222,4350 Fair Lakes Court,No,Yes,No
822,Henkel-Harris,Winchester,10/29/2012,12/31/2013,122,P.O. Box 2170,Yes,No,No
823,Wyle,Houston,10/26/2012,11/30/1999,60,Science Technology & Engineering Group,No,Yes,No
824,SEARS,Omaha,10/23/2012,01/23/2013,71,Tucker HR Support Center,No,Yes,No
825,Strayer University,Herndon,10/15/2012,12/14/2012,61,2303 Dulles Station Blvd,Yes,No,No
826,"Kurz-Kasch, Inc.",South Boston,10/11/2012,02/01/2013,59,1222 Seymour Drive,Yes,No,No
827,"Money Mailer, LLC",Garden Grove,10/08/2012,03/05/2013,72,12131 Western Avenue,Yes,No,No
828,BAE Systems Technology Solutions & Services Inc.,Hampton,10/05/2012,10/26/2012,77,6 Manhattan Square,No,Yes,No
829,"ARAMARK Sports and Entertainment Services, LLC",Luray,10/02/2012,12/31/2012,228,Shenandoah National Park Operations,Yes,No,No
830,Alpha Natural Resources,Norton,09/18/2012,11/17/2012,110,5703 Crutchfield Drive,No,No,No
831,American Airlines,Fort Worth ,09/17/2012,11/16/2012,48,4333 Amon Carter Blvd. MD 5256,No,Yes,No
832,Flour,Greenville,09/12/2012,10/06/2013,184,100 Fluor Daniel Manager,No,No,No
833,GenOn,Houston,09/06/2012,10/08/2012,49,1000 Main Street,Yes,No,No
834,URS,Midwest City,09/06/2012,10/31/2012,204,2701 Liberty Parkway,No,Yes,No
835,Aer Lingus,Jericho,08/24/2012,10/30/2012,62,"300 Jericho Quadrangle, Suite 130",No,No,No
836,Regional Elite,Minneapolis,08/24/2012,10/30/2012,38,7500 Airline Drive,Yes,No,No
837,General Dynamics Land Systems,Sterling Heights,08/23/2012,10/01/2012,44,38500 Mound Road,No,No,No
838,Federal Mogul,Winchester,08/10/2012,10/12/2012,129,2410 Papermill Road,Yes,No,No
839,Dove Vinyl Windows,Wikes-Barre,08/08/2012,08/13/2012,52,767 Sans Souci Parkway,Yes,No,No
840,"Masterbrand Cabinets, Inc.",Jasper,08/03/2012,08/10/2012,345,P.O. Box 420,Yes,No,No
841,"G4S Government Solutionas , Inc.",Palm Beach Gardens,08/02/2012,09/30/2012,98,"7121 Fairway Drive, Suite 301",No,Yes,No
842,"G4S Government Solutions, Inc.",Palm Beach,08/02/2012,09/30/2012,68,"7121 Fairway Drive, Suite 301",No,Yes,No
843,Golden Living,Fort Smith,07/30/2012,10/02/2012,42,1000 Fianna Way,Yes,No,No
844,BAE Systems Technology Solutions & Services Inc.,Hampton,07/24/2012,08/27/2012,76,6 Manhattan Square,No,Yes,No
845,MDV ,Norfolk,06/28/2012,08/28/2012,18,A Nash Finch Company,No,Yes,No
846,Southeast Service Corporation d/b/a SSC Service Solution,Knoxville,06/22/2012,08/26/2012,90,"1845 Midpark Road, Suite 201",No,Yes,No
847,Xanodyne Pharmaceuticals Inc.,Newport,06/21/2012,08/20/2012,1,One Riverfront Place,No,Yes,No
848,"Dilliard""s Inc",Little Rock,06/11/2012,08/12/2012,59,1600 Cantrell Road,Yes,No,No
849,IAP Worldwide Services,Cape Canaveral,06/04/2012,06/29/2012,185,7315 North Atlantic Avenue,No,No,No
850,ATK Energetic Systems ,Radford,06/01/2012,06/25/2012,614,Radford Army Ammunition Plant,No,Yes,No
851,Golden West Foods,Bedford,05/30/2012,06/01/2012,119,940 Orange Street,Yes,No,No
852,"RG Steel, LLC",Wheeling,05/23/2012,06/04/2012,10,1134 Market Street,No,Yes,No
853,Sennett Security Products,Chantilly,05/22/2012,07/23/2012,50,4212-A Technology Court,Yes,No,No
854,Daily Press,Newport News,05/10/2012,07/18/2012,80,7505 Warwick Boulevard,Yes,No,No
855,Hostess Brands,Irving ,05/04/2012,07/04/2012,221,6031 Connection Drive,Yes,No,No
856,Northrop Grumman,Herndon,05/01/2012,06/29/2012,130,Technical Services,No,Yes,No
857,CSC ,Fort Worth,05/01/2012,05/31/2012,7,North American Public Sector Applied Technology Di,No,Yes,No
858,"CRAssociates, Inc.",Newington,04/27/2012,06/30/2012,431,"8580 Cinderbed Road, Suite 2400",No,Yes,No
859,"Delphinus Engineering, Inc.",Eddystone,04/26/2012,04/28/2012,46,Baldwin Tower,No,Yes,No
860,Serco Inc.,Fairfax,04/25/2012,06/18/2012,58,1818 Library Street,No,No,No
861,Best Buy,South Richfield,04/14/2012,05/12/2012,64,Corporate Campus,Yes,No,No
862,TRG Customer Solutions,Jacksonville,04/04/2012,04/30/2012,371,8375 Dix Ellis Trail,No,Yes,No
863,General Dynamics,Sterling Heights,04/02/2012,05/31/2012,3,Land Systems,No,No,No
864,Lockheed Martin,Chesapeake,03/22/2012,04/06/2012,92,Information Systems & Global Solutions,No,Yes,No
865,ARAMARK Higher Education,Covington,03/19/2012,06/01/2012,82,RiverCenter 1 Suite 1810,Yes,No,No
866,"Luke & Associates, Inc.",Merritt Island,03/19/2012,05/13/2012,182,775 E. Marritt Causeway,No,Yes,No
867,"Video Gaming Technologies, Inc.",Brentwood,03/15/2012,10/01/2012,218,155 Franklin Road,Yes,No,No
868,Northrop Grumman Corporation,Chantilly,03/02/2012,05/04/2012,1,Information Systems,No,Yes,No
869,LightSquard,Reston,02/27/2012,02/24/2012,123,10802 Parkridge Boulevard,No,No,Yes
870,Lockheed Martin,Hampton,02/27/2012,04/30/2012,65,Information Systems & Global Solutions,No,Yes,No
871,SIMOS,Roswell,02/24/2012,04/24/2012,135,"695 Mansell Road, Suite 200 ",No,Yes,No
872,ATK Mission Systems Group Space Division NASA Langley Facility,Hampton,02/23/2012,04/23/2012,124,1221B Langley Blvd.,No,Yes,No
873,Duro Duro Bag Manufacturing Compnay,Florence,02/21/2012,02/24/2012,154,7600 Empire Drive,Yes,No,No
874,INOVA HEALTH SYSTEM ,Falls Church,02/16/2012,05/02/2012,210,8110 Gatehouse Road,No,Yes,No
875,"Sears Holdings Sears, Roebuck, & Co. Associate Service Center",Omaha,02/15/2012,04/22/2012,84,P.O. Box 2945,Yes,No,No
876,General Dynamics Land Systems,heights,02/13/2012,04/12/2012,44,38500 Mound Road,No,No,No
877,"HanoverDirect, Inc",Crosse,02/09/2012,04/27/2012,189,455 Park Plaza Drive,No,Yes,No
878,"CCC Transporation, LLC",Transporation,02/03/2012,04/15/2012,74,509 Hwy 92 East ,Yes,No,No
879,Virginia Port Authority,Norfolk,02/01/2012,02/29/2012,39,600 World Trade Center,No,Yes,No
880,"QinetiQ North America, Inc",Springfield,01/30/2012,02/29/2012,180,7450-B Boston Blvd,No,Yes,No
881,Bluefield Beverage Company,Bluefield,01/27/2012,04/27/2012,107,219 Industrial Park Road,Yes,No,No
882,The Mason Inn - ARAMARK,Fairfax,01/24/2012,03/31/2012,135,4352 Mason Pond Drive,No,Yes,No
883,Kroger Food Stores,Roanoke,01/23/2012,03/23/2012,62,P.O. Box 14002,Yes,No,No
884,Potomac Supply Corporation,Kinsale,01/18/2012,01/10/2012,98,1398 Kinsale Road,Yes,No,No
885,"Miller Truck Lines, LLC",Lines,01/15/2012,03/31/2012,3,105 N. 8th Avenue,Yes,No,No
886,Warsaw Healthcare Center,Warsaw,01/09/2012,03/09/2012,48,5373 Richmond Road,Yes,No,No
887,Muller Martini Manufacturing Corp.,News,12/28/2011,02/28/2012,31,P.O. Box 6630,Yes,No,No
888,Potomac Supply Corporation,,12/14/2011,01/13/2012,57,1398 Kinsdale Road,Yes,No,No
889,Aramark,Philadelphia,12/09/2011,12/31/2011,67,1101 Market Street 20th Floor,Yes,No,No
890,"Pitney Bowes, Inc ",Stamford,12/09/2011,02/22/2012,64,1 Elmcroft Road  ,Yes,No,No
891,Windstream Communications,Rock,12/01/2011,02/03/2012,70,4001 Rodney Parham Road,No,Yes,No
892,BASF Corporation,Suffolk,11/29/2011,01/29/2012,45,2301 Wilroy Road ,No,Yes,No
893,Marion Youth Center,Marion,11/08/2011,01/08/2012,108,225 State Street,Yes,No,No
894,"Filene\'s Basement/Syms Clothing Syms Corp and Filene\'s basement, LLCOne Syms WaySecaucus, New Jersey ",Secaucus,11/04/2011,01/09/2012,35,"Syms Corp and Filene\'s Basement, LLC  ",Yes,No,No
895,Berry Plastics Corporation,Piscataway,10/28/2011,01/01/2012,123,251 Circle Drive North,Yes,No,No
896,Muller Martini Manufacturing Corp. ,News,10/27/2011,12/30/2011,98,PO Box 6630,Yes,No,No
897,Rock-Tenn Company,Stream,10/25/2011,12/24/2011,110,450 East North Avenue,Yes,No,No
898,"ARL Richmond Management, LLC (Richmond Ramada Plaza) One Post Office Square Suite ",Management,10/19/2011,10/21/2011,73,3100,Yes,No,No
899,QuadGraphics N,Sussex,10/17/2011,12/16/2011,126,63W23075 State Hwy. 74,Yes,No,No
900,"Lowe\'s Home Centers, Inc.",Mooresville,10/17/2011,12/16/2011,95,1000 Lowes Blvd,Yes,No,No
901,Genie,,10/13/2011,05/31/2012,92,P.O. Box 67,Yes,No,No
902,"MV Transportation, Inc.",Fairfield,10/03/2011,12/02/2011,62,4620 Westamerica Drive,No,No,No
903,GRTC Transit System,Richmond,10/03/2011,11/30/2011,122,301 East Belt Boulevard,No,Yes,No
904,Kroger Food Stores,Roanoke,09/22/2011,12/02/2011,101,P.O. Box 14002,Yes,No,No
905,Artemiss,York,09/16/2011,12/30/2011,66,711 Third Avenue. 4th floor,Yes,No,No
906,"Landmark Services Parking, Inc.",Washington,09/01/2011,01/15/2012,12,"1000 Ohio Drive, S.W.",Yes,No,No
907,INOVA Health System ,Falls Church,08/31/2011,11/01/2011,463,8110 Gatehouse Road,No,Yes,No
908,INOVA Health System ,Falls Church,08/31/2011,11/01/2011,143,8110 Gatehouse Road,No,Yes,No
909,Global Contact Services (GCS),Salisbury,08/29/2011,10/08/2011,80,118-B South Main Street,Yes,No,No
910,Ceridian  Colonial Place III ,Arlington,08/15/2011,10/15/2011,58,"2107 Wilson Blvd., 1st Floor",Yes,No,No
911,DRS Technologies ,Bridgeport,07/18/2011,10/14/2011,16,141 North Avenue,No,Yes,No
912,"Current USA, Inc. ",North Mankato,07/18/2011,08/12/2011,8,1725 Roe Crest Drive,Yes,No,No
913,"American Press One American Place Gordonsville, Virginia ",,06/30/2011,08/31/2011,123,22942,Yes,No,No
914,Wells Fargo & Co. (Home Equity Group),Charlotte,06/28/2011,08/27/2011,59,301 S Tryon Street,Yes,No,No
915,Gates Corporation,,06/22/2011,09/22/2011,146,1551 Wewatta Street,Yes,No,No
916,General Dynamics Information Technology,Fairfax,06/06/2011,09/15/2011,10,3211 Jermantown Road,No,Yes,No
917,Hometown America,,05/31/2011,09/30/2011,8,"150 North Wacker Drive, Suite 2800",No,Yes,No
918,Muller Martini Manufacturing Corporation,News,05/26/2011,07/31/2011,3,11850 Jefferson Avenue,No,Yes,No
919,Flextronics Americas LLC,,05/25/2011,08/31/2011,193,6800 Solectron Drive,No,No,No
920,"RCN Telecom Services, LLC Presidents Plaza, Building One",Services,05/25/2011,07/29/2011,33,"196 Van Buren Street, Suite 300",No,No,No
921,Georgia-Pacific,Skippers,05/23/2011,07/22/2011,105,234 Forest Road,Yes,No,No
922,"StarTek, Inc.",Denver,05/23/2011,07/22/2011,628,44 Cook Street ,Yes,No,No
923,New Breed Corporations,Greensboro,05/10/2011,07/15/2011,79,P.O. Box 18367,Yes,No,No
924,"J. C. Penney Corporation, Inc. JCPenney Retail Store-Potomac Mills Mall",Woodbridge,05/03/2011,07/02/2011,103,2700 Potomac Mills Circle,Yes,No,No
925,General Dynamics Land Systems,heights,05/03/2011,05/03/2011,112,38500 Mound Road,No,No,No
926,Yusen Logistics (Americas) Inc.,Secaucus,05/02/2011,07/03/2011,96,"300 Lighting Way, 6th Floor",Yes,No,No
927,AREVA INC.,Lynchburg,04/29/2011,06/29/2011,1,3315 Old Forest Road,No,No,Yes
928,SONOCO,Sandston,04/28/2011,06/30/2011,0,3900 Technology Blvd,No,No,No
929,"Canusa Hershman Recycling of Virginia, LLC",Virginia,04/22/2011,06/19/2011,86,1532 Thames Street,No,No,No
930,Aircraft Service International Group ASIG JFK International Airport Terminial ,Jamaica,04/21/2011,06/01/2011,86,4 Room 276.180,No,No,No
931,Northrop Grumman Information Systems,Street,04/12/2011,05/13/2011,32,"80 M Street, SE",No,No,Yes
932,Capstone Corporation,,04/07/2011,08/31/2011,63,"635 Slaters Lane, Suite 100",No,Yes,No
933,Verizon Wireless,,03/31/2011,06/01/2011,270,15 Federal Road ,Yes,No,No
934,ARAMARK Business & Industry Facilities Services,Philadelphia,03/29/2011,05/17/2011,47,1101 Market Street,Yes,No,No
935,"Remuda Ranch One East Apache Street Wickenburg, AZ ",Wickenburg,03/10/2011,05/16/2011,74,85390,Yes,No,No
936,Areva NP Inc.,Lynchburg,03/01/2011,04/29/2011,11,1724 Mount Athos Road,No,No,Yes
937,Benchmark Hospitality,,02/28/2011,04/30/2011,85,4 Waterway Square Suite 300,No,Yes,No
938,Northrop Grumman Technical Services,Suffolk,02/28/2011,04/24/2011,293,8030 Harbour View Blvd,No,No,Yes
939,Lockheed Martin Information Systems & Global Solutions,rockville,02/25/2011,04/27/2011,45,2275 Research Blvd,No,Yes,No
940,"Current USA, Inc.",Mankato,01/26/2011,08/01/2001,70,1725 Roe Crest Drive,Yes,No,No
941,Kmart Sears Holding Support Center,Estates,01/25/2011,03/26/2011,158,3333 Beverly Road,No,No,No
942,Smithfield Packaging Company,Smithfield,01/25/2011,03/26/2011,53,601 North Church Street,Yes,No,No
943,TriWest Healthcare Alliance Corp.,Phoenix,01/24/2011,03/31/2011,80,16010 North 28th Avenue,Yes,No,No
944,StarTek,Denver,01/24/2011,03/25/2011,69,44 Cook Street,No,Yes,No
945,"United Litho, Inc.",Ashburn,01/20/2011,07/15/2011,80,21800 Beaumeade Circle,Yes,No,No
946,"ZipReality, Inc.",Emeryville,01/12/2011,03/14/2011,2,"2000 Powell Street, Suite 300",Yes,No,No
947,"ZipReality, Inc.",Emeryville,01/12/2011,03/14/2011,1,"2000 Powell Street, Suite 300",Yes,No,No
948,Northrop Grumman Technical Services Inc.,,12/27/2010,02/28/2011,148,P.O. Box U,No,No,Yes
949,"QuadGraphics, Inc. N",Sussex,12/06/2010,01/28/2011,312,"63 W23075 State Hwy, 74",No,No,No
950,"NCO NCO Financial Systems, Inc.",Getzville,12/01/2010,12/04/2011,368,150 CrossPoint Pkwy,No,No,Yes
951,"Current USA, Inc.",Mankato,11/17/2010,,49,1725 roe Crest Drive,Yes,No,No
952,"Duke Energy Generation Services, INC",Services,11/11/2010,03/15/2011,41,P.O. Box 455,No,Yes,No
953,"Biovail Technologies, Ltd.",Chantilly,11/05/2010,01/14/2011,54,3701 Concorde Parkway,Yes,No,No
954,Covance Inc.,,11/03/2010,01/03/2011,223,210 Carnegie Center,No,No,No
955,"Richmond Cold Storage Company, LLC",Company,11/03/2010,12/25/2010,108,4808 Radford Avenue,No,Yes,No
956,"Thomasville Furniture Industries, Inc.",Appomattox,11/02/2010,03/25/2011,171,P.O. Box 848,Yes,No,No
957,Northrop Grumman Technical Services Inc.,,10/25/2010,12/31/2010,164,P.O. Box U,No,No,Yes
958,General DynamicsAdvance Information Systems National Business Park,Annapolis,10/21/2010,01/03/2011,9,"2721 Technology Drive, Suite 400",No,Yes,No
959,AREVA NP INC,Lynchburg,10/15/2010,10/15/2010,7,1724 Mount Athos Road,No,Yes,No
960,Principal Financial Group,Moines,10/11/2010,12/10/2010,2,711 High Street,No,Yes,No
961,"Travelers One Tower Square Hartford, CT ",Hartford,09/22/2010,,88,6183,No,Yes,No
962,"Xanodyne Pharmaceutical, Inc.One RiverFront Place Newport, KY ",Newport,09/21/2010,11/21/2010,3,41071,No,Yes,No
963,Lockheed Martin Information Systems & Global Solutions,Rockville,09/15/2010,10/15/2010,59,2275 Research Blvd,No,Yes,No
964,Smurfit-Stone Container Corporation,Richmond,09/02/2010,10/31/2010,146,2900 Spouse Drive,Yes,No,No
965,Smurfit-Stone Container Corporation,Richmond,09/02/2010,10/31/2010,83,5640 Lewis Road,Yes,No,No
966,Science Application International Corporation (SAIC),,08/27/2010,10/31/2010,90,1710 SAIC Drive,No,Yes,No
967,Raytheon Mission Operations & Services,Pasadena,08/25/2010,10/27/2010,82,299 N. Euclid Ave. Suite 500,No,Yes,No
968,"Northrop Grumman Technical Services, Inc (NGTS)",,08/11/2010,10/15/2010,169,34200 Fulton Street,No,No,No
969,"Western Refining Yorktown, Inc.",Yorktown,08/05/2010,08/05/2010,225,2201 Goodwin Neck Road,No,No,No
970,"Northrop Grumman Technical Services, Inc. (NGTS)",Eustis,07/29/2010,09/30/2010,173,P.O. Box U,No,Yes,No
