,company_name,location,notice_date,layoff_date,employees_affected,Closure or Layoff,Type of Layoff
0,Americal Medical Response Moses Lake,Moses Lake,11/1/2023,1/2/2024,17,Closure,Permanent
1,Convoy Inc.,"Seattle, WA",10/24/2023,10/19/2023,533,Closure,Permanent
2,Magnum Venus Products,Kent,10/23/2023,12/30/2023,47,Closure,Permanent
3,HMSHost,Seattle,10/20/2023,12/31/2023,65,Layoff,Permanent
4,"Crothall Healthcare, Inc.",Seattle,10/13/2023,12/14/2023,41,Layoff,Permanent
5,"Flexport, Inc.",Bellevue,10/13/2023,10/13/2023,165,Layoff,Permanent
6,"Cygnus Home Service, LLC, d/b/a Yelloh",Various locations in Washington,10/9/2023,10/20/2023,58,Closure,Permanent
7,"Epic Games, Inc.",Bellevue,10/5/2023,10/2/2023,39,Layoff,Permanent
8,"Hard Rock International (USA), Inc.",Seattle,10/2/2023,12/1/2023,66,Closure,Permanent
9,Target,Seattle,9/28/2023,12/30/2023,39,Closure,Permanent
10,Target,Seattle,9/28/2023,12/30/2023,51,Closure,Permanent
11,"American Nursery Services, Inc.",Statewide,9/28/2023,12/31/2023,45,Closure,Permanent
12,"Flexe, Inc.",Seattle,9/26/2023,11/27/2023,131,Layoff,Permanent
13,WestRock Company,Tacoma,9/13/2023,9/30/2023,408,Closure,Permanent
14,"Divvy Homes, Inc.",King County,9/8/2023,11/7/2023,4,Layoff,Permanent
15,"SkyKick, Inc.",Seattle,8/30/2023,10/31/2023,181,Layoff,Permanent
16,"Agilent Technologies, Inc.",Kirkland,8/28/2023,10/31/2023,64,Closure,Permanent
17,"T-Mobile USA, Inc.",Bellevue,8/25/2023,10/24/2023,401,Layoff,Permanent
18,"Crothall Healthcare, Inc.",Seattle,8/22/2023,10/20/2023,174,Layoff,Permanent
19,"ImmunityBio, Inc.",San Juan County,8/21/2023,10/17/2023,1,Layoff,Permanent
20,Cognizant Technology Solutions U.S. Corporation,Bothell,8/17/2023,9/29/2023,93,Layoff,Permanent
21,Yellow Corporation,"Everett, Seattle, Tacoma, E. Wenatchee, Union Gap, Pasco, Spokane",8/14/2023,7/30/2023,437,Closure,Permanent
22,"Centerra, a Constellis Company","Seattle, Tacoma, Yakima, Spokane, Richland",8/11/2023,9/30/2023,92,Layoff,Permanent
23,"KeHE Distributors, Inc",Statewide,8/7/2023,10/6/2023,42,Layoff,Permanent
24,"Columbia Valley Fruit, LLC",Union Gap,7/31/2023,9/28/2023,131,Closure,Permanent
25,"Universal Protection Service, LP d/b/a Allied Universal Security Services",Redmond,7/17/2023,10/5/2023,71,Layoff,Permanent
26,Microsoft,Redmond and Bellevue,7/10/2023,9/8/2023,276,Layoff,Permanent
27,"Dawn Food Products, Inc.",Seattle,7/5/2023,9/1/2023,55,Closure,Permanent
28,"Aramark Campus, LLC",Bellingham,6/28/2023,8/31/2023,386,Layoff,Permanent
29,"BWRD, LLC (Stria)",King County,6/15/2023,6/14/2023,1,Layoff,Permanent
30,"Bitwise Industries, Inc.","Island, King, Spokane, Okanogan Counties",6/14/2023,6/14/2023,4,Layoff,Permanent
31,Los Angeles Times Communications LLC,Seattle,6/9/2023,8/14/2023,1,Layoff,Permanent
32,Microsoft,Redmond,6/5/2023,8/4/2023,22,Layoff,Permanent
33,Cascade Behavioral Health Hospital LLC,Tukwila,6/1/2023,7/31/2023,288,Closure,Permanent
34,Amentum,Everett,5/31/2023,7/30/2023,3,Layoff,Permanent
35,Microsoft,Redmond,5/9/2023,5/26/2023,158,Layoff,Permanent
36,Summit Public Schools Washington,"Seattle, Tacoma",4/28/2023,6/30/2023,17,Layoff,Permanent
37,"Elkay Interior Systems, Inc",Spokane,4/26/2023,7/28/2023,6,Closure,Permanent
38,Durham School Services,Spokane,4/25/2023,6/30/2023,226,Closure,Permanent
39,David's Bridal LLC,Nationwide,4/17/2023,4/14/2023,9266,Closure,Permanent
40,Phoenix Processor Limited Partnership,Seattle,4/12/2023,6/7/2023,115,Closure,Permanent
41,Q2 Solutions,Seattle,4/3/2023,6/15/2023,43,Closure,Permanent
42,Microsoft,Redmond and Bellevue,3/27/2023,5/26/2023,559,Layoff,Permanent
43,"Aspiration Partners, Inc",King and Snohomish Counties,3/24/2023,5/26/2023,3,Layoff,Permanent
44,Walmart,Everett,3/23/2023,6/30/2023,198,Closure,Permanent
45,"Blue Nile, Inc.",Seattle,3/23/2023,7/14/2023,119,Closure,Permanent
46,Ace Hardware Corporation,Spokane,3/17/2023,5/17/2023,86,Layoff,Permanent
47,Astound Broadband,Bothell,3/17/2023,5/19/2023,90,Layoff,Permanent
48,"Compass Group USA, Inc.",Redmond,3/8/2023,3/24/2023,68,Layoff,Permanent
49,Ingersoll Rand,Kent,3/7/2023,5/8/2023,69,Closure,Permanent
50,Microsoft,"Redmond, Bellevue, Issaquah",3/6/2023,5/5/2023,689,Layoff,Permanent
51,"Novo Nordisk Research Center Seattle, Inc",Seattle,3/1/2023,5/1/2023,86,Layoff,Permanent
52,"FleetLogix, Inc","SeaTac, Tukwila",2/28/2023,4/28/2023,120,Closure,Permanent
53,Rume Medical Group,"Seattle, Lynden",2/24/2023,2/26/2023,2,Layoff,Permanent
54,"American Medical Response, Pierce County",Fife,2/17/2023,4/19/2023,43,Closure,Permanent
55,"Critical Ideas, Inc. dba Chipper Cash","Vancouver, Spokane",2/16/2023,2/17/2023,2,Layoff,Permanent
56,"Peer Street, Inc.",Liberty Lake,2/15/2023,4/16/2023,1,Layoff,Permanent
57,Microsoft,"Redmond, Bellevue, Issaquah",2/9/2023,4/10/2023,617,Layoff,Permanent
58,"NC Interactive, LLC",Bellevue,2/2/2023,2/1/2023,23,Layoff,Permanent
59,"Bittrex, Inc.",Bellevue,2/1/2023,4/2/2023,83,Layoff,Permanent
60,"Compass Group USA, Inc.",Redmond,1/30/2023,3/28/2023,110,Layoff,Permanent
61,Microsoft,"Redmond, Bellevue, Issaquah",1/18/2023,3/20/2023,878,Layoff,Permanent
62,Amazon,"Seattle, Bellevue",1/18/2023,3/19/2023,2320,Layoff,Permanent
63,"SIGMA DESIGN, Inc","Camas, Vancouver",1/17/2023,1/31/2023,42,Layoff,Permanent
64,"Specialized Bicycle Components, Inc","Seattle, Spokane",1/11/2023,1/13/2023,9,Layoff,Permanent
65,"Brinker International Payroll Co LP, Maggiano's Little Italy Restaurant",Bellevue,1/3/2023,3/4/2023,147,Closure,Permanent
66,"Triple Canopy, a Constellis Co",Tukwila,12/29/2022,2/28/2023,122,Layoff,Permanent
67,Pioneer Human Services,Sedro Woolley,12/5/2022,1/31/2023,50,Closure,Permanent
68,The Lobster Shop,Tacoma,12/1/2022,1/15/2023,70,Layoff,Temporary
69,"American Medical Response, Pierce County",Fife,11/29/2022,1/28/2023,130,Layoff,Permanent
70,"Meta Platforms, Inc",Bellevue,11/11/2022,1/13/2023,307,Layoff,Permanent
71,"Meta Platforms, Inc",Seattle,11/11/2022,1/13/2023,419,Layoff,Permanent
72,"Astra Space, Inc",Olympia,11/9/2022,11/9/2022,1,Layoff,Permanent
73,"Twitter, Inc",Seattle,11/4/2022,1/4/2023,257,Layoff,Permanent
74,Amentum,Oak Harbor,10/31/2022,12/31/2022,194,Layoff,Permanent
75,Conestoga Wood Specialties Corp.,Kent,10/25/2022,12/31/2022,51,Closure,Permanent
76,"Universal Protection Service, LLC dba Allied Universal Security Services","Seattle, Kent",10/21/2022,12/19/2022,1203,Layoff,Permanent
77,Stadelman Fruit Company,Zillah,10/17/2022,11/15/2022,381,Closure,Permanent
78,Montesano Health and Rehabilitation Center,Montesano,9/26/2022,9/14/2022,49,Layoff,Temporary
79,"Compass, Inc",Seattle,9/21/2022,11/19/2022,271,Layoff,Permanent
80,Falck Northwest Corporation,"Mountlake Terrace, Fife",9/16/2022,12/15/2022,123,Closure,Permanent
81,Amazon Health Services,Seattle,9/7/2022,12/1/2022,159,Closure,Permanent
82,Care Medical,Seattle,9/7/2022,12/1/2022,236,Closure,Permanent
83,"Royal Ridge Fruit and Cold Storage, LLC",Royal City,8/17/2022,8/17/2022,45,Layoff,Permanent
84,Imaginetics LLC,Auburn,7/28/2022,7/27/2022,83,Closure,Permanent
85,VSPOne Olympia,Lacey,6/29/2022,7/29/2022,55,Closure,Permanent
86,"Shining Ocean, Inc. d/b/a Aquamar",Sumner,6/13/2022,8/12/2022,116,Closure,Permanent
87,Kershaw Fruit and Cold Storage,Yakima,6/6/2022,6/10/2022,125,Layoff,Permanent
88,"Soli Organic, Inc",Duvall,5/31/2022,7/31/2022,102,Closure,Permanent
89,Hawthorne Gardening Company,Vancouver,5/25/2022,8/1/2022,42,Layoff,Permanent
90,Service Response Partners LLC,Auburn,5/23/2022,7/17/2022,1,Closure,Permanent
91,"Ideoclick, Inc",Seattle,5/3/2022,7/2/2022,38,Layoff,Permanent
92,"Funko, LLC","Everett, Puyallup",4/7/2022,6/9/2022,258,Closure,Permanent
93,Walmart,Bellevue,4/4/2022,7/15/2022,147,Closure,Permanent
94,"Kings Command Foods, LLC",Kent,4/1/2022,4/1/2022,92,Closure,Permanent
95,Wesley Homes,"Des Moines, Auburn, Puyallup",3/11/2022,5/14/2022,119,Layoff,Permanent
96,Norgren GT Development LLC,Auburn,3/3/2022,7/1/2022,181,Closure,Permanent
97,Valiant Integrated Services,Joint Base Lewis McChord,2/14/2022,3/31/2022,59,Layoff,Permanent
98,Hawthorne Gardening Company,Vancouver,1/26/2022,4/1/2022,150,Layoff,Permanent
99,Outdoor Research,Seattle,1/6/2022,3/7/2022,55,Layoff,Temporary
100,"Monitronics International, Inc. d/b/a Brinks Home","Seattle, Tacoma, Snoqualmie, Spokane",12/16/2021,12/17/2021,4,Layoff,Permanent
101,Watsonville Community Hospital,Prosser,11/26/2021,1/28/2022,1,Closure,Permanent
102,"BitTitan, Inc",Bellevue,11/17/2021,1/14/2022,70,Layoff,Permanent
103,Zillow Group,Seattle,11/4/2021,1/3/2022,96,Layoff,Permanent
104,Foss Maritime Company,Seattle,10/29/2021,12/29/2021,115,Closure,Permanent
105,Stadelman Fruit Company,Zillah,7/26/2021,8/31/2021,120,Closure,Permanent
106,"Xevo, Inc",Bellevue,7/7/2021,7/7/2021,173,Layoff,Permanent
107,Katerra,Seattle,7/2/2021,7/8/2021,1,Closure,Permanent
108,Katerra,Seattle,6/1/2021,6/4/2021,117,Closure,Permanent
109,"Electronic Transaction Consultants, LLC",Seattle,5/27/2021,7/30/2021,65,Closure,Permanent
110,Durham School Services,Spokane,5/20/2021,7/1/2021,22,Layoff,Permanent
111,Collins Aerospace,Everett,5/19/2021,7/23/2021,65,Closure,Permanent
112,"Rosetta Stone, LLC",Seattle,5/11/2021,7/11/2021,16,Layoff,Permanent
113,Yakima Herald-Republic,Yakima,5/4/2021,7/8/2021,40,Closure,Permanent
114,"Hydro Systems USA, Inc.",Kent,4/22/2021,7/31/2021,46,Layoff,Permanent
115,"DSU-Peterbilt & GMC, Inc.",Kelso,4/16/2021,5/31/2021,67,Layoff,Permanent
116,YMCA of Greater Seattle,Seattle,4/6/2021,3/23/2021,1213,Layoff,Permanent
117,Plastics Extrusion Machinery LLC,Tumwater,3/18/2021,4/30/2021,21,Closure,Permanent
118,Saalex Solutions Inc,Keyport,3/9/2021,4/30/2021,50,Layoff,Permanent
119,Keyword Studios US Inc.,Bothell,3/1/2021,5/9/2021,42,Layoff,Permanent
120,Keyword Studios US Inc.,Bothell,2/25/2021,4/30/2021,10,Layoff,Permanent
121,"XPO Logistics Supply Chain, Inc",Everett,2/22/2021,4/19/2021,104,Layoff,Permanent
122,"Quality Food Centers, Inc",Seattle,2/18/2021,4/24/2021,109,Closure,Permanent
123,Keyword Studios / VMC Consulting Corporation,Bothell,2/12/2021,4/16/2021,18,Layoff,Permanent
124,"Flying Food Group, LLC",SeaTac,2/11/2021,4/1/2021,65,Layoff,Permanent
125,Triumph Aerospace Structures,Spokane,2/11/2021,3/30/2021,136,Closure,Permanent
126,Washington Potato Company,Warden,2/5/2021,2/5/2021,62,Layoff,Permanent
127,Panasonic Avionics,Bothell,2/4/2021,4/5/2021,135,Layoff,Permanent
128,Aramark,Bellingham,1/15/2021,3/15/2020,183,Layoff,Permanent
129,Museum of Pop Culture,Seattle,1/12/2021,1/18/2021,7,Layoff,Temporary
130,"Double Down Interactive, LLC",Seattle,1/7/2021,3/8/2021,55,Layoff,Permanent
131,Global Life Sciences Solutions USA LLC / cytiva,Issaquah,12/29/2020,2/28/2021,61,Closure,Permanent
132,Saalex Solutions Inc,Keyport,12/29/2020,2/28/2021,48,Layoff,Permanent
133,Durham School Services,Lakewood,12/21/2020,2/25/2021,44,Closure,Permanent
134,Progress Rail Services Corporation,Tacoma,12/10/2020,2/9/2021,54,Closure,Permanent
135,"Soundair Repair Group, LLC",Snohomish,12/4/2020,12/4/2020,6,Layoff,Permanent
136,Life Cycle Engineering Inc,Bremerton,12/4/2020,12/19/2020,60,Layoff,Temporary
137,Hyatt Corporation / Hyatt Regency Lake Washington,Renton,12/4/2020,12/4/2020,1,Layoff,Permanent
138,Southwest Airlines Co.,SeaTac,12/3/2020,3/15/2021,42,Layoff,Temporary
139,Seattle Theater Group,Seattle,11/23/2020,12/5/2020,93,Layoff,Permanent
140,"Elmer's Restaurants, Inc","Vancouver, Tacoma",11/18/2020,11/18/2020,94,Layoff,Temporary
141,Museum of Pop Culture,Seattle,11/18/2020,11/18/2020,12,Layoff,Temporary
142,Boston Scientific Corporation,"Bothell, WA",11/6/2020,12/6/2020,230,Closure,Permanent
143,Aramark,Tacoma,10/30/2020,3/16/2020,96,Layoff,Temporary
144,Aramark,Tacoma,10/30/2020,3/16/2020,3,Layoff,Permanent
145,Aramark,Tacoma,10/30/2020,4/7/2020,52,Layoff,Temporary
146,Aramark,Tacoma,10/30/2020,4/7/2020,2,Layoff,Permanent
147,Aramark,Seattle,10/30/2020,3/16/2020,407,Layoff,Temporary
148,Aramark,Seattle,10/30/2020,3/16/2020,16,Closure,Permanent
149,"SPIN Seattle, LLC",Seattle,10/30/2020,3/17/2020,40,Closure,Temporary
150,TransAlta,Centralia,10/29/2020,1/4/2021,64,Layoff,Permanent
151,"Carlson Paving Products, Inc",Tacoma,10/22/2020,12/31/2021,63,Closure,Permanent
152,"Sonoco Products Yakima, WA - Plastics Operation",Yakima,10/20/2020,12/20/2020,133,Closure,Permanent
153,"Transom Highlights Holdings Corp dba Gene Juarez Salons, Spas, and Academies",Seattle,10/16/2020,10/14/2020,71,Closure,Permanent
154,"Transom Highlights Holdings Corp dba Gene Juarez Salons, Spas, and Academies",Puget Sound Area,10/16/2020,3/17/2020,166,Layoff,Temporary
155,Southrest Inc. dba The Woodmark,Kirkland,10/7/2020,10/5/2020,86,Layoff,Permanent
156,"Compass Group USA, Inc.",Seattle,9/25/2020,11/22/2020,105,Layoff,Permanent
157,Hyatt Corporation Motif Seattle,Seattle,9/24/2020,9/25/2020,60,Layoff,Permanent
158,Boeing,Puget Sound Area,9/21/2020,11/20/2020,530,Layoff,Permanent
159,Hyatt Corporation / Hyatt Regency Bellevue,Bellevue,9/21/2020,9/18/2020,148,Layoff,Permanent
160,P.F. Chang's China Bistro,Bellevue,9/18/2020,3/19/2020,75,Layoff,Temporary
161,P.F. Chang's China Bistro,Lynnwood,9/18/2020,3/19/2020,75,Layoff,Temporary
162,P.F. Chang's China Bistro,Spokane,9/18/2020,3/19/2020,75,Layoff,Temporary
163,Sodexo,Redmond,9/18/2020,3/12/2020,122,Layoff,Temporary
164,National Railroad Passenger Corporation (Amtrak),Seattle,9/16/2020,9/30/2020,2,Layoff,Permanent
165,National Railroad Passenger Corporation (Amtrak),Seattle,9/16/2020,10/1/2020,141,Layoff,Temporary
166,"Lags Spine and Sportscare Medical Centers, Inc. d/b/a Lags Medical Centers",Vancouver,9/15/2020,11/2/2020,5,Closure,Permanent
167,Booking.com (USA) Inc,Bellevue,9/10/2020,9/12/2020,235,Closure,Permanent
168,"Dave & Buster's, Inc",Auburn,9/8/2020,11/8/2020,85,Layoff,Permanent
169,"Avis Budget Car Rental, LLC",Tukwila,9/2/2020,9/5/2020,1,Layoff,Permanent
170,Hudson Group,Seattle,9/1/2020,8/31/2020,89,Layoff,Permanent
171,Big Fish Games,Seattle,9/1/2020,9/1/2020,217,Layoff,Permanent
172,Boeing,Puget Sound Area,8/31/2020,10/30/2020,592,Layoff,Permanent
173,"thyssenkrupp Materials, LLC",Auburn,8/31/2020,10/30/2020,60,Layoff,Permanent
174,"Sandvik Special Metals, LLC",Kennewick,8/31/2020,10/30/2020,50,Layoff,Permanent
175,Bon Appetit Management Company,Seattle,8/27/2020,9/30/2020,116,Layoff,Permanent
176,"Arctic Circle Enterprises, LLC",Kent,8/24/2020,8/31/2020,66,Layoff,Permanent
177,"Stellar Partners, Inc",SeaTac,8/21/2020,10/15/2020,12,Layoff,Permanent
178,Museum of Pop Culture,Seattle,8/21/2020,8/21/2020,32,Layoff,Permanent
179,YMCA of Greater Seattle,Seattle,8/19/2020,8/3/2020,66,Layoff,Permanent
180,Washington State Convention Center,Seattle,8/17/2020,3/31/2020,148,Layoff,Temporary
181,Carlisle Interconnect Technologies,Kent,8/12/2020,8/12/2020,595,Closure,Permanent
182,HMSHost,SeaTac,8/12/2020,10/15/2020,251,Layoff,Permanent
183,HMSHost,Spokane,8/12/2020,10/15/2020,46,Layoff,Permanent
184,"MV Transportation, Inc","Seattle, Woodinville",8/12/2020,10/12/2020,145,Layoff,Permanent
185,"Argosy LP, DBA Argosy Cruises",Seattle,8/11/2020,8/3/2020,49,Layoff,Permanent
186,"Argosy LP, DBA Argosy Cruises",Seattle,8/11/2020,8/3/2020,9,Layoff,Temporary
187,Embassy Suites Employer LLC,Tukwila,8/10/2020,3/20/2020,27,Layoff,Temporary
188,Embassy Suites Employer LLC,Tukwila,8/10/2020,8/27/2020,6,Layoff,Permanent
189,"IPIC Theaters, LLC",Redmond,8/6/2020,8/3/2020,65,Layoff,Permanent
190,"Sky Chefs, Inc",SeaTac,8/4/2020,10/1/2020,360,Layoff,Permanent
191,Neiman Marcus Group,Bellevue,8/3/2020,10/2/2020,95,Closure,Permanent
192,Hudson Group,Seattle,7/31/2020,7/31/2020,91,Layoff,Permanent
193,Hilton Hotel Employer LLC,Vancouver,7/31/2020,3/22/2020,125,Layoff,Temporary
194,Hilton Hotel Employer LLC,Vancouver,7/31/2020,7/31/2020,6,Layoff,Permanent
195,Boeing,Puget Sound Area,7/31/2020,10/2/2020,940,Layoff,Permanent
196,Alaska Airlines,"Seatac, Seattle",7/31/2020,10/1/2020,1583,Layoff,Permanent
197,Hilton Hotel Employer LLC,Seattle,7/29/2020,3/8/2020,88,Layoff,Temporary
198,Doubletree Management LLC,Seattle,7/29/2020,3/8/2020,88,Layoff,Temporary
199,"Worthy Hotels, Inc",Spokane,7/29/2020,3/12/2020,115,Layoff,Permanent
200,"Worthy Hotels, Inc",Spokane,7/29/2020,3/12/2020,159,Layoff,Temporary
201,NatureBridge,Port Angeles,7/29/2020,8/15/2020,21,Layoff,Permanent
202,DoubleTree Employer LLC,Spokane,7/28/2020,3/20/2020,90,Layoff,Temporary
203,GE Healthcare,Seattle,7/28/2020,9/30/2020,66,Closure,Permanent
204,Guest Services,Mt. Rainier,7/27/2020,9/25/2020,5,Layoff,Permanent
205,"PCC Aerostructures Protective Coatings, Inc",Kent,7/27/2020,7/31/2020,34,Layoff,Permanent
206,SSP America,Seattle,7/24/2020,9/24/2020,228,Layoff,Temporary
207,American Queen Steamboat Company,Vancouver,7/24/2020,9/24/2020,250,Layoff,Permanent
208,"Nordstrom, Inc",Seattle,7/17/2020,5/8/2020,521,Layoff,Permanent
209,American Airlines,SeaTac,7/15/2020,10/1/2020,3,Layoff,Permanent
210,American Airlines,Seattle,7/15/2020,10/1/2020,111,Layoff,Temporary
211,DynCorp International LLC,Joint Base Lewis McChord,7/10/2020,7/9/2020,51,Layoff,Permanent
212,Triumph Aerospace Structures,Spokane,7/10/2020,7/20/2020,10,Layoff,Permanent
213,"United Airlines, Inc",Seattle,7/9/2020,10/1/2020,259,Layoff,Temporary
214,Katerra,Seattle,7/7/2020,7/1/2020,41,Layoff,Permanent
215,"Delta Air Lines, Inc.",Seattle,7/7/2020,10/1/2020,74,Layoff,Temporary
216,KHRG Alexis LLC (Kimpton Alexis Hotel),Seattle,7/6/2020,3/20/2020,83,Layoff,Permanent
217,Amentum,Whidbey Island,6/30/2020,8/28/2020,13,Layoff,Permanent
218,Coca Cola / Odwalla's,Tukwila,6/30/2020,8/31/2020,32,Closure,Permanent
219,Boeing,Puget Sound Area,6/29/2020,8/28/2020,668,Layoff,Permanent
220,Ponderay Newsprint Company,Usk,6/26/2020,6/25/2020,148,Closure,Permanent
221,Spire Hospitality,"Lynnwood, Seattle",6/26/2020,7/1/2020,187,Layoff,Permanent
222,"Safran Cabin Materials, LLC",Marysville and Newport,6/24/2020,6/23/2020,85,Layoff,Permanent
223,Sodexo,SeaTac,6/24/2020,4/17/2020,41,Closure,Permanent
224,KHRG Vintage Park LLC (Kimpton Hotel Vintage Seattle),Seattle,6/23/2020,3/20/2020,97,Layoff,Permanent
225,KHRG Employer LLC (Kimpton Hotel Monaco Seattle),Seattle,6/23/2020,3/20/2020,120,Layoff,Permanent
226,Swissport Fueling,SeaTac,6/19/2020,5/8/2020,69,Layoff,Permanent
227,"Swissport USA, Inc",SeaTac,6/19/2020,5/22/2020,62,Layoff,Permanent
228,"Swissport USA, Inc",SeaTac,6/19/2020,3/20/2020,167,Layoff,Temporary
229,"Jacobsen Daniel's Enterprise, Inc",Tacoma,6/18/2020,6/12/2020,1,Layoff,Permanent
230,Tool Gauge and Machine Works,Tacoma,6/18/2020,6/17/2020,59,Layoff,Permanent
231,Hyatt Corporation Motif Seattle,Seattle,6/18/2020,3/14/2020,91,Layoff,Temporary
