,company_name,location,notice_date,layoff_date,employees_affected,Closure or Layoff,Type of Layoff
967,Wilcox Farms,Cheney,4/3/2008,4/30/2008,47,Closure,Permanent
968,Weyerhaeuser Company,Toutle,3/10/2008,5/1/2008,81,Closure,Permanent
969,Nastech Pharmaceutical,Bothell,3/5/2008,2/29/2008,70,Layoff,Permanent
970,Pactiv Corporation,Yakima,3/3/2008,5/9/2008,51,Closure,Permanent
971,Macy's,Seattle,3/3/2008,5/2/2008,697,Layoff,Permanent
972,"K Ply, Inc.",Port Angeles,2/29/2008,11/2/2007,132,Closure,Temporary
973,Group Health,Redmond,2/25/2008,4/30/2008,363,Closure,Permanent
974,Anesthesiologists Associated,Spokane Valley,2/20/2008,2/20/2008,63,Closure,Permanent
975,J.R. Simplot,Pasco,2/15/2008,4/18/2008,335,Closure,Permanent
976,Pristina Pine,Spokane Valley,2/13/2008,2/6/2008,98,Closure,Permanent
977,ICOS Corporation,Bothell,2/6/2008,3/29/2008,1,Layoff,Permanent
978,Seattle Times - North Creek,Bothell,2/4/2008,3/31/2008,7,Layoff,Permanent
979,Wilcox Farms,Roy,2/4/2008,3/31/2008,130,Closure,Permanent
980,Sun Microsystems Inc,Bellevue,1/31/2008,3/31/2008,1,Layoff,Permanent
981,Panasonic,Vancouver,1/29/2008,3/29/2008,89,Closure,Permanent
982,DIGIO,KIRKLAND,1/24/2008,3/18/2008,69,Layoff,Permanent
983,Seattle Times - North Creek,Bothell,1/16/2008,2/29/2008,71,Layoff,Permanent
984,Holy Family Hospital,Deer Park,1/11/2008,3/15/2008,79,Closure,Permanent
985,"Portac, Inc.",Tacoma,12/26/2007,2/25/2008,71,Closure,Permanent
986,ICOS Corporation,Bothell,12/24/2007,2/29/2008,6,Layoff,Permanent
987,Washington Mutual,Bellevue,12/17/2007,2/15/2008,105,Layoff,Permanent
988,Xantrex Technology,Arlington,12/14/2007,3/1/2008,55,Closure,Permanent
989,BAE Systems,Keyport,12/13/2007,2/19/2008,55,Closure,Permanent
990,FloorServe,"Seattle, Tacoma and Vancouver",12/5/2007,1/31/2008,3,Closure,Permanent
991,DAL Global Services,SeaTac,11/19/2007,12/12/2007,132,Layoff,Permanent
992,Benchmark Electronics,Redmond,11/15/2007,1/15/2008,150,Closure,Permanent
993,Levitz Furniture,Tukwila,11/9/2007,1/9/2008,60,Closure,Permanent
994,Tree Top,Cashmere,11/5/2007,1/4/2008,73,Layoff,Temporary
995,ICOS Corporation,Bothell,10/31/2007,12/29/2007,13,Layoff,Permanent
996,Georgia Pacific Corporation,Bellingham,10/8/2007,12/8/2007,210,Closure,Permanent
997,"Sun Microsystems, Inc",Bellevue,9/27/2007,11/26/2007,9,Layoff,Permanent
998,VAE Nortrack North America Inc.,Seattle,9/26/2007,12/1/2007,58,Layoff,Permanent
999,American Port Services,Sumner,9/13/2007,12/31/2007,217,Closure,Permanent
1000,Fleetwood Housing,Woodland,9/12/2007,9/12/2007,135,Closure,Permanent
1001,Welco Lumber,Marysville,8/30/2007,10/26/2007,57,Closure,Permanent
1002,ICOS Corporation,Bothell,8/28/2007,10/29/2007,12,Layoff,Permanent
1003,"Liquidation World USA, Inc.",Nine Locations - WA,8/28/2007,10/31/2007,0,Closure,Permanent
1004,"GreenPoint Mortgage Funding, Inc.",Bellevue,8/24/2007,8/23/2007,41,Closure,Permanent
1005,Heritage Health & Rehab. Center,Vancouver,8/23/2007,10/22/2007,50,Closure,Permanent
1006,Cenveo Corporation,Tukwila,8/21/2007,10/19/2007,68,Closure,Permanent
1007,ICOS Corporation,Bothell,8/17/2007,10/15/2007,1,Layoff,Permanent
1008,Associated Grocers. Inc.,Seattle-Renton,8/6/2007,10/1/2007,684,Closure,Permanent
1009,ICOS Corporation,Bothell,7/31/2007,9/29/2007,1,Layoff,Permanent
1010,Swedish Sleep Medicine Institute,Seattle,7/18/2007,9/16/2007,67,Closure,Permanent
1011,Electronic Data Systems,Federal Way,7/12/2007,8/24/2007,147,Layoff,Permanent
1012,Aleut Global Solutions,Tacoma,7/2/2007,7/30/2007,7,Closure,Permanent
1013,ARAMARK Healthcare,Spokane,6/29/2007,8/28/2007,245,Closure,Permanent
1014,SK Food Group,Seattle,6/7/2007,8/1/2007,90,Closure,Permanent
1015,"Commercial Vehicle Group, Inc.",Seattle-Tacoma,6/6/2007,7/30/2007,115,Closure,Permanent
1016,ICOS Corporation,Bothell,6/4/2007,8/1/2007,1,Layoff,Permanent
1017,ICOS Corporation,Bothell,5/14/2007,8/29/2007,5,Layoff,Permanent
1018,New Century Financial Corporation,Bellevue,5/10/2007,5/4/2007,41,Closure,Permanent
1019,ICOS Corporation,Bothell,5/9/2007,7/8/2007,2,Layoff,Permanent
1020,Millenium Funding Group,Vancouver,5/1/2007,4/26/2007,72,Layoff,Temporary
1021,"King County Publications, Ltd.",Kent,4/30/2007,6/29/2007,109,Closure,Permanent
1022,ICOS Corporation,Bothell,4/30/2007,6/29/2007,1,Layoff,Permanent
1023,Bethlehem Construction,Cashmere,4/25/2007,5/24/2007,76,Closure,Permanent
1024,ICOS Corporation,Redmond,4/17/2007,6/22/2007,1,Layoff,Permanent
1025,ICOS Corporation,Bothell,4/17/2007,6/17/2007,1,Layoff,Permanent
1026,Alltel,Issaquah,4/16/2007,6/16/2007,260,Closure,Permanent
1027,ICOS Corporation,Bothell,4/2/2007,5/29/2007,17,Layoff,Permanent
1028,Cosmo Store Services,Statewide,4/2/2007,5/27/2007,17,Layoff,Permanent
1029,ICOS Corporation,Bothell,3/22/2007,5/1/2007,1,Layoff,Permanent
1030,Bank of America,Spokane,3/15/2007,6/29/2007,205,Layoff,Permanent
1031,ICOS Corporation,Bothell,3/6/2007,5/5/2007,1,Layoff,Permanent
1032,Millenium Funding Group,Vancouver,3/6/2007,3/2/2007,76,Layoff,Temporary
1033,Electric Boat,Bremerton,3/2/2007,6/1/2007,2,Closure,Permanent
1034,"Sun Microsystems, Inc",Bellevue,3/1/2007,4/30/2007,2,Closure,Permanent
1035,ICOS Corporation,Bothell/Redmond/Bellevue,2/28/2007,4/29/2007,61,Layoff,Permanent
1036,Sealed Air,Kent,2/28/2007,3/30/2007,99,Closure,Permanent
1037,"U.S. Foodservice, Inc.",Ridgefield,2/22/2007,5/25/2007,43,Closure,Permanent
1038,Electric Boat,Bremerton,2/16/2007,5/4/2007,6,Closure,Permanent
1039,ICOS Corporation,Bothell,1/29/2007,3/29/2007,10,Layoff,Permanent
1040,"Sun Microsystems, Inc",Bellevue,1/25/2007,3/26/2007,1,Layoff,Permanent
1041,AgriNorthwest,Kennewick,1/18/2007,3/31/2007,106,Closure,Permanent
1042,"Portac, Inc.",Tacoma,1/17/2007,4/1/2007,45,Layoff,Permanent
1043,ICOS Corporation,Bothell,1/12/2007,1/31/2007,268,Layoff,Permanent
1044,Trident Seafoods Corporation,Fife,1/12/2007,3/30/2007,106,Closure,Permanent
1045,Bessie Burton Sullivan Nursing Residence,Seattle,1/8/2007,3/15/2007,196,Closure,Permanent
1046,ICOS Corporation,Bothell/Redmond/Bellevue,12/14/2006,2/12/2007,11,Layoff,Permanent
1047,ICOS Corporation,Bothell/Redmond/Bellevue,12/11/2006,2/5/2007,111,Layoff,Permanent
1048,ICOS Corporation,Bothell/Redmond,12/5/2006,1/29/2007,15,Layoff,Permanent
1049,Electric Boat,Bremerton,12/1/2006,2/2/2007,50,Layoff,Permanent
1050,TransAlta,Centralia,11/27/2006,11/27/2006,568,Layoff,Permanent
1051,Georgia Pacific Corporation,Camas,11/22/2006,1/27/2006,32,Layoff,Permanent
1052,ICOS Corporation,Bothell,11/17/2006,1/16/2007,20,Layoff,Permanent
1053,UPS Supply Chain Solutions,Auburn,11/17/2006,11/15/2006,57,Layoff,Permanent
1054,"Sun Microsystems, Inc",Bellevue,11/16/2006,1/15/2007,3,Layoff,Permanent
1055,ICOS Corporation,Bothell,11/9/2006,1/8/2007,56,Layoff,Permanent
1056,ICOS Corporation,Bothell,11/2/2006,1/2/2007,197,Layoff,Permanent
1057,"Marine Industries Northwest, Inc",Tacoma,10/27/2006,12/27/2006,75,Layoff,Permanent
1058,Glaxo Smith Kline,Bothell,10/27/2006,10/25/2006,63,Closure,Permanent
1059,Leavenworth Wood Products,Leavenworth,10/11/2006,12/12/2006,102,Closure,Permanent
1060,Washington Mutual,Lynnwood,10/9/2006,12/5/2006,140,Layoff,Permanent
1061,Electric Boat,Bremerton,10/6/2006,12/8/2006,56,Layoff,Permanent
1062,Spherion,Redmond,10/3/2006,11/27/2006,141,Layoff,Permanent
1063,Chelan Fruit,Pateros,9/28/2006,10/15/2006,84,Closure,Permanent
1064,"Sun Microsystems, Inc",Bellevue,9/28/2006,11/27/2006,2,Layoff,Permanent
1065,Trammell Crow Company,Bellevue,9/15/2006,11/15/2006,64,Layoff,Permanent
1066,Electric Boat,Bremerton,9/15/2006,11/17/2006,15,Layoff,Permanent
1067,DMX Music,Seattle,9/1/2006,10/30/2006,120,Layoff,Permanent
1068,Star Manufacturing,Everett,8/28/2006,1/1/2007,107,Closure,Permanent
1069,"Tyson's Fresh Meats, Inc",Pasco,8/17/2006,10/16/2006,590,Layoff,Permanent
1070,Electric Boat,Bremerton,8/11/2006,10/13/2006,44,Layoff,Permanent
1071,"Sun Microsystems, Inc",Bellevue,8/3/2006,10/2/2006,4,Layoff,Permanent
1072,Bank of America,Richland,7/31/2006,10/1/2006,121,Closure,Permanent
1073,Bank of America,Seattle,7/31/2006,10/1/2006,255,Closure,Permanent
1074,Shurgard Self Storage,Seattle,7/28/2006,8/25/2006,175,Layoff,Permanent
1075,Pony Lumber Company,Tacoma,7/17/2006,9/14/2006,125,Layoff,Temporary
1076,Bank of America,Seattle,7/14/2006,10/1/2006,89,Closure,Permanent
1077,"Ocean Beauty Seafoods, Inc",Seattle,7/10/2006,9/1/2006,120,Layoff,Permanent
1078,Electric Boat,Bremerton,7/7/2006,9/8/2006,24,Layoff,Permanent
1079,"Sun Microsystems, Inc",Bellevue,6/22/2006,8/21/2006,3,Layoff,Permanent
1080,Yakima Resources,Yakima,6/2/2006,8/5/2006,250,Closure,Permanent
1081,Washington Mutual,Bothell,6/1/2006,7/30/2006,900,Closure,Permanent
1082,Larry's Markets,"Bellevue, Kirkland, Redmond, Seattle, Tukwila",5/30/2006,8/30/2006,545,Closure,Permanent
1083,K-Mart,Wenatchee,5/9/2006,7/12/2006,60,Closure,Permanent
1084,Food Services of America,Seattle,5/2/2006,6/30/2006,125,Closure,Permanent
1085,Mega Foods,Tacoma,4/28/2006,7/8/2006,80,Closure,Permanent
1086,Amtech Corp,Yelm,4/6/2006,6/30/2006,47,Closure,Permanent
1087,"Wackenhut Services, Inc",Bangor,4/3/2006,6/30/2006,100,Layoff,Permanent
1088,American Airlines,SeaTac,4/3/2006,5/29/2006,28,Layoff,Permanent
1089,Ossur Generation II USA,Bothell,3/20/2006,3/8/2006,49,Closure,Permanent
1090,"Sun Microsystems, Inc",Bellevue,3/13/2006,5/8/2006,2,Layoff,Permanent
1091,Cingular Wireless,Redmond,3/13/2006,5/9/2006,2,Layoff,Permanent
1092,Cingular Wireless,"Bothell, Redmond",3/2/2006,4/25/2006,17,Layoff,Permanent
1093,Defense Logistics Agency,Fort Lewis,2/27/2006,3/13/2006,1,Layoff,Permanent
1094,Cingular Wireless,"Bothell, Redmond",2/17/2006,4/11/2006,6,Layoff,Permanent
1095,Panasonic,Vancouver,2/2/2006,1/30/2006,104,Layoff,Permanent
1096,Cingular Wireless,"Bothell, Redmond",1/31/2006,3/28/2006,34,Layoff,Permanent
1097,Sinnett's MarketPlace,Longview,1/25/2006,2/11/2006,65,Closure,Permanent
1098,Virginia Mason Clinics,Port Angeles,1/23/2006,3/31/2006,98,Closure,Permanent
1099,Cingular Wireless,"Bothell, Redmond",1/17/2006,3/14/2006,2,Layoff,Permanent
1100,UNICCO,Federal Way,1/16/2006,3/31/2006,90,Closure,Permanent
1101,OfficeMax home Plate,Elma,1/9/2006,3/11/2006,63,Closure,Permanent
1102,"Bechtel National, Inc.",Richland,1/6/2006,2/6/2006,275,Layoff,Permanent
1103,"Schoeller Arca Systems, Inc",Tacoma,1/3/2006,3/1/2006,86,Layoff,Permanent
1104,Cingular Wireless,"Bothell, Redmond",12/20/2005,2/14/2006,1,Layoff,Permanent
1105,Cingular Wireless,"Bothell, Redmond",12/6/2005,1/31/2006,16,Layoff,Permanent
1106,Delta Airlines,Seattle,12/6/2005,2/1/2006,68,Layoff,Permanent
1107,Bank of America,Seattle,12/6/2005,3/3/2006,115,Layoff,Permanent
1108,Getronics,Blaine,11/29/2005,1/13/2006,2,Layoff,Permanent
1109,Metro One,Tukwila,11/16/2005,1/9/2006,45,Closure,Permanent
1110,Delaware North Companies,Spokane,11/14/2005,12/28/2005,80,Closure,Permanent
1111,Ridpath Hotel,Spokane,11/10/2005,1/7/2006,74,Layoff,Permanent
1112,Cingular Wireless,"Bothell, Redmond",11/7/2005,1/3/2006,7,Layoff,Permanent
1113,"Welch Foods, Inc.",Kennewick,11/2/2005,1/18/2006,163,Closure,Permanent
1114,"Woodbridge Gardens, Inc",Winlock,11/1/2005,12/30/2005,4,Closure,Permanent
1115,First Hill Care Center,Seattle,10/26/2005,12/27/2005,103,Closure,Permanent
1116,Weyerhaeuser Company,Cosmopolis,10/24/2005,10/1/2006,245,Closure,Permanent
1117,Weyerhaeuser Company,Aberdeen,10/24/2005,12/19/2005,97,Closure,Permanent
1118,Cingular Wireless,"Bothell, Redmond",10/21/2005,12/20/2005,25,Layoff,Permanent
1119,Interstate Brands Corp,Lakewood,10/19/2005,12/17/2005,185,Closure,Permanent
1120,Cingular Wireless,"Bothell, Redmond",10/11/2005,12/6/2005,24,Layoff,Permanent
1121,Electronic Data Systems,Tacoma,10/7/2005,12/9/2005,122,Layoff,Permanent
1122,GB Enterprises,Arlington,10/4/2005,11/29/2005,138,Closure,Permanent
1123,Cingular Wireless,"Bothell, Redmond",9/27/2005,11/22/2005,15,Layoff,Permanent
1124,"Phillips Ultrasound, Inc",Bothell,9/23/2005,11/18/2005,1,Layoff,Permanent
1125,Getronics,Blaine,9/14/2005,11/15/2005,2,Layoff,Permanent
1126,Cingular Wireless,"Bothell, Redmond",9/13/2005,11/8/2005,7,Layoff,Permanent
1127,Kinross Gold Corp,Republic,9/9/2005,11/14/2005,65,Layoff,Permanent
1128,TreeSource,Tumwater,9/6/2005,11/6/2005,124,Closure,Permanent
1129,"Maxon Furniture, Inc",Kent,8/25/2005,12/2/2005,73,Closure,Permanent
1130,Jeld Wen,Everett,8/24/2005,10/25/2005,85,Layoff,Permanent
1131,TFS Electronic Manufacturing,Redmond,8/23/2005,10/22/2005,171,Layoff,Permanent
1132,"Phillips Ultrasound, Inc",Bothell,8/15/2005,10/7/2005,2,Layoff,Permanent
1133,Cingular Wireless,"Bothell, Redmond",8/14/2005,10/11/2005,9,Layoff,Permanent
1134,Cingular Wireless,"Bothell, Redmond",8/2/2005,9/27/2005,6,Layoff,Permanent
1135,IAP World Services,Bangor,7/25/2005,10/1/2005,787,Layoff,Permanent
1136,Cingular Wireless,"Bothell, Redmond",7/22/2005,9/14/2005,10,Layoff,Permanent
1137,"Phillips Ultrasound, Inc",Bothell,7/15/2005,9/16/2005,33,Layoff,Permanent
1138,PhotoWorks.com,Seattle,7/13/2005,7/22/2005,3,Layoff,Permanent
1139,Corixa Corp.,Seattle,7/13/2005,7/15/2005,70,Layoff,Permanent
1140,Jeld Wen,Everett,6/23/2005,8/23/2005,75,Layoff,Permanent
1141,Cingular Wireless,"Bothell, Redmond",6/21/2005,8/16/2005,4,Layoff,Permanent
1142,"Monolith Productions, Inc",Kirkland,6/16/2005,8/15/2005,80,Layoff,Permanent
1143,"Phillips Ultrasound, Inc",Bothell,6/10/2005,8/12/2005,13,Layoff,Permanent
1144,"Cell Therapeutics, Inc",Seattle,6/3/2005,8/2/2005,92,Layoff,Permanent
1145,"Contec, LLC",Seattle,6/2/2005,7/15/2005,70,Closure,Permanent
1146,Durham School Services,Seattle,5/27/2005,7/31/2005,98,Closure,Permanent
1147,Cingular Wireless,"Bothell, Redmond",5/23/2005,7/19/2005,15,Layoff,Permanent
1148,"Rockwell Collins, Inc",Kirkland,5/20/2005,8/26/2005,135,Layoff,Permanent
1149,American Commercial Security Services,Bellevue,5/20/2005,6/30/2005,155,Closure,Permanent
1150,Alaska Airlines,Seattle,5/19/2005,7/17/2005,477,Layoff,Permanent
1151,Laidlaw Transit Services,Redmond,5/13/2005,6/30/2005,75,Layoff,Permanent
1152,Cingular Wireless,"Bothell, Redmond",5/9/2005,7/5/2005,12,Layoff,Permanent
1153,Sanmina-SCI,Bothell,5/2/2005,4/22/2005,53,Closure,Permanent
1154,"Bechtel National, Inc.",Richland,4/25/2005,6/24/2005,350,Layoff,Permanent
1155,Cingular Wireless,Redmond,4/25/2005,6/21/2005,4,Layoff,Permanent
1156,Qwest,Seattle,4/19/2005,6/8/2005,23,Closure,Permanent
1157,United Airlines,Kent,4/11/2005,6/5/2005,426,Closure,Permanent
1158,Cingular Wireless,"Bothell, Redmond",4/11/2005,5/13/2005,26,Layoff,Permanent
1159,Lennox Hearth Products,Burlington,4/4/2005,6/3/2005,72,Closure,Permanent
1160,Qwest,Seattle,3/25/2005,6/8/2005,144,Closure,Permanent
1161,"Phillips Ultrasound, Inc",Bothell,3/17/2005,5/20/2005,43,Layoff,Permanent
1162,Brown & Cole Stores,Pasco,3/8/2005,5/6/2005,64,Closure,Permanent
1163,Brown & Cole Stores,Smokey Point,3/8/2005,5/6/2005,65,Closure,Permanent
1164,Brown & Cole Stores,Yakima,3/8/2005,5/6/2005,67,Closure,Permanent
1165,Yakima Resources,Yakima,3/2/2005,4/30/2005,118,Closure,Permanent
1166,Cingular Wireless,"Bothell, Redmond",3/1/2005,4/29/2005,73,Layoff,Permanent
1167,Cingular Wireless,"Bothell, Redmond",2/14/2005,4/15/2005,182,Layoff,Permanent
1168,Cingular Wireless,"Bothell, Redmond",2/1/2005,4/4/2005,160,Layoff,Permanent
1169,"Sallie Mae, Inc",Seattle,2/1/2005,3/28/2005,74,Layoff,Permanent
1170,Masonic Retirement Center of WA,Des Moines,1/31/2005,3/27/2005,125,Closure,Permanent
1171,Pacific Marine Maintenance Co.,Tacoma,1/27/2005,3/31/2005,72,Layoff,Permanent
1172,PhotoWorks.com,Seattle,1/20/2005,3/31/2005,67,Layoff,Permanent
1173,Cingular Wireless,"Bothell, Redmond",1/18/2005,3/18/2005,88,Layoff,Permanent
1174,"Phillips Ultrasound, Inc",Bothell,1/18/2005,3/18/2005,17,Layoff,Permanent
1175,Cingular Wireless,"Bothell, Redmond",1/3/2005,3/7/2005,155,Layoff,Permanent
1176,Capital One,Federal Way,12/22/2004,1/3/2005,256,Closure,Permanent
1177,Corixa Corp.,Seattle,12/13/2004,12/13/2004,60,Layoff,Permanent
1178,Panasonic,Kent,11/16/2004,1/21/2005,63,Layoff,Permanent
1179,Trinity Universal Insurance Co.,Spokane,10/29/2004,1/1/2005,47,Layoff,Permanent
1180,HMS Host,SeaTac,10/18/2004,12/13/2004,103,Layoff,Permanent
1181,Alcoa-Wenatchee,Malaga,9/27/2004,12/12/2004,59,Layoff,Temporary
1182,Plexus Corp,Bothell,9/21/2004,11/20/2004,163,Closure,Permanent
1183,Alaska Airlines,Seattle,9/14/2004,12/1/2004,189,Layoff,Permanent
1184,Microsoft,Redmond,8/23/2004,10/25/2004,67,Layoff,Permanent
1185,Guidant Sales Corp,Redmond,8/9/2004,10/8/2004,2,Layoff,Permanent
1186,SuperValue,Tacoma,8/4/2004,10/3/2004,220,Layoff,Permanent
1187,Alcoa-Wenatchee,Malaga,7/30/2004,10/1/2004,400,Layoff,Temporary
1188,Target,Federal Way,7/30/2004,10/5/2004,134,Closure,Permanent
1189,Guidant Sales Corp,Kirkland,7/29/2004,9/27/2004,2,Layoff,Permanent
1190,Premera Blue Cross,Mountlake Terrace,7/28/2004,9/30/2004,82,Closure,Permanent
1191,Johnson Controls,Silverdale,7/22/2004,10/1/2004,35,Layoff,Permanent
1192,Brown & Williamson Tobacco,Bellevue,7/6/2004,8/31/2004,31,Closure,Permanent
1193,Sacred Heart Hospital,Spokane,6/30/2004,8/31/2004,174,Layoff,Permanent
1194,"Qualex, Inc.",Chehalis,6/16/2004,8/23/2004,80,Closure,Permanent
1195,"Ericsson, Inc",Redmond,6/10/2004,7/30/2004,3,Layoff,Permanent
1196,IBM,Redmond,6/3/2004,8/17/2004,63,Closure,Permanent
1197,Washington Mutual,Seattle,5/24/2004,4/1/2004,170,Layoff,Permanent
1198,Selkirk Industries,Lynnwood,5/12/2004,7/11/2004,52,Closure,Permanent
1199,GE Osmonics,Kent,4/28/2004,7/1/2004,27,Closure,Permanent
1200,GMAC Financial Services,Bellevue,4/27/2004,6/30/2004,43,Closure,Permanent
1201,Terabeam Corporation,Redmond,4/22/2004,6/22/2004,13,Layoff,Permanent
1202,HealthNet Federal Services,Tacoma,4/19/2004,5/28/2004,82,Layoff,Permanent
1203,Evergreen Vista Convalescent Center,Kirkland,4/15/2004,6/30/2004,131,Closure,Permanent
1204,Terabeam Corporation,Redmond,4/14/2004,6/13/2004,87,Layoff,Permanent
1205,Custom Apple Packers,Brewster,4/14/2004,6/11/2004,73,Closure,Permanent
1206,Airborne Express,Seattle,3/30/2004,3/31/2004,1000,Closure,Permanent
1207,Todd Pacific Shipyards Corp,Seattle,3/26/2004,3/26/2004,500,Layoff,Temporary
1208,Wells Fargo Bank,Oak Harbor,3/26/2004,4/28/2004,84,Closure,Permanent
1209,Peter Pan Seafoods,Seattle,3/25/2004,5/26/2004,63,Closure,Permanent
1210,J.R. Simplot Company,Quincy,3/19/2004,5/18/2004,606,Closure,Permanent
1211,GL&V,Vancouver,3/9/2004,5/7/2004,46,Closure,Permanent
1212,Merrill Lynch Howard Johnson's,Seattle,3/8/2004,4/30/2004,92,Closure,Permanent
1213,"Fujicolor Processing, Inc",Tukwila,3/1/2004,2/26/2004,49,Closure,Permanent
1214,USCO Logistics,Sumner,2/5/2004,4/3/2004,212,Closure,Permanent
1215,Swedish Medical Center,Seattle,1/23/2004,3/22/2004,161,Closure,Permanent
1216,Experience Music Project,Seattle,1/20/2004,3/15/2004,150,Layoff,Permanent
1217,Software Spectrum,Liberty Lake,1/12/2004,2/5/2004,60,Layoff,Permanent
