employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Community Partners Inc,"Jul 27, 2015",93,WARN,Tuscon,85711,6 - ARIZONA@WORK Pima County,"2502 N. Dodge Boulevard; Tuscon, Arizona 85711",204,https://www.azjobconnection.gov/search/warn_lookups/204
Atkore International,"Aug 06, 2015",60,WARN,Phoenix,85009,5 - ARIZONA@WORK City of Phoenix,"2525 N. 27th Avenue; Phoenix, Arizona 85009",205,https://www.azjobconnection.gov/search/warn_lookups/205
Calvery Staffing,"Aug 04, 2015",411,WARN,Phoenix,85034,5 - ARIZONA@WORK City of Phoenix,"1732 E. Rental Car Way; Phoenix, Arizona 85034",208,https://www.azjobconnection.gov/search/warn_lookups/208
"Haggen, Inc.","Aug 14, 2015",51,WARN,Tucson,85748,6 - ARIZONA@WORK Pima County,"10380 East Broadway Blvd.; Tucson, Arizona 85748",209,https://www.azjobconnection.gov/search/warn_lookups/209
"Haggen, Inc.","Aug 14, 2015",35,WARN,Tucson,85710,6 - ARIZONA@WORK Pima County,"8740 E. Broadway Road; Tucson, Arizona 85710",211,https://www.azjobconnection.gov/search/warn_lookups/211
"Haggen, Inc.","Aug 14, 2015",,WARN,Anthem,85086,7 - ARIZONA@WORK Maricopa County,,212,https://www.azjobconnection.gov/search/warn_lookups/212
"Haggen, Inc.","Aug 14, 2015",44,WARN,Flagstaff,86001,,"1416 E. Route 66; Flagstaff, Arizona 86001",213,https://www.azjobconnection.gov/search/warn_lookups/213
"Haggen, Inc.","Aug 14, 2015",51,WARN,Prescott Valley,86314,,"7450 E. Highway 69; Prescott Valley, Arizona 86314",214,https://www.azjobconnection.gov/search/warn_lookups/214
ATSCO Remanufacturing Inc.,"Aug 26, 2015",155,WARN,Phoenix,85031,5 - ARIZONA@WORK City of Phoenix,"4525 North 43rd Ave; Phoenix, Arizona 85031",215,https://www.azjobconnection.gov/search/warn_lookups/215
ASARCO Grupo Mexico,"Aug 21, 2015",170,WARN,Hayden,85135,,"6094 N. Asarco road, PO Box 8; Hayden, Arizona 85135",216,https://www.azjobconnection.gov/search/warn_lookups/216
Littler Employment & labor Solutiions Worldwide,"Aug 14, 2015",84,WARN,Mesa,85201,7 - ARIZONA@WORK Maricopa County,"1355 West University Drive; Mesa, Arizona 85201",217,https://www.azjobconnection.gov/search/warn_lookups/217
"Beck, Chaet, Bamberger,& Polsky, S.C.","Aug 14, 2015",22,WARN,Phoenix,85007,5 - ARIZONA@WORK City of Phoenix,"1507 West Parkside Lane; Phoenix, Arizona 85007",218,https://www.azjobconnection.gov/search/warn_lookups/218
Freeport-McMoRan,"Aug 27, 2015",,WARN,Claypool,85532,,,219,https://www.azjobconnection.gov/search/warn_lookups/219
Freeport-McMoRan Sierrita Inc.,"Oct 22, 2015",580,WARN,Green Valley,85622,6 - ARIZONA@WORK Pima County,"6200 W. Duval Mine Road; Green Valley, Arizona 85622",220,https://www.azjobconnection.gov/search/warn_lookups/220
"Marvell Semiconductor, Inc.","Oct 16, 2015",29,WARN,Chandler,85286,7 - ARIZONA@WORK Maricopa County,"1750 E. Northrop Blvd #100; Chandler, Arizona 85286",221,https://www.azjobconnection.gov/search/warn_lookups/221
Management & Training Corporation,"Oct 28, 2015",467,WARN,Golden Valley,86413,,"4626 West English Drive; Golden Valley, Arizona 86413",222,https://www.azjobconnection.gov/search/warn_lookups/222
Walter Investment Managment Corp,"Oct 28, 2015",96,WARN,Tempe,85281,7 - ARIZONA@WORK Maricopa County,"8930 South Beck Avenue, Suite 111; Tempe, Arizona 85281",223,https://www.azjobconnection.gov/search/warn_lookups/223
"DAL Global Services, LLC","Nov 16, 2015",162,WARN,,,5 - ARIZONA@WORK City of Phoenix,,224,https://www.azjobconnection.gov/search/warn_lookups/224
Safeway,"May 04, 2015",44,WARN,Globe,85539,,"2448 E. US Highway 60; Globe, Arizona 85539",184,https://www.azjobconnection.gov/search/warn_lookups/184
CenturyLink,"Feb 26, 2014",52,WARN,Phoenix,85012,5 - ARIZONA@WORK City of Phoenix,"20 E. Thomas Road; Phoenix, Arizona 85012",115,https://www.azjobconnection.gov/search/warn_lookups/115
General Dynamics Information Technology,"Mar 06, 2014",187,WARN,Phoenix,85021,5 - ARIZONA@WORK City of Phoenix,"8900 N. 22nd Ave.; Phoenix, Arizona 85021",116,https://www.azjobconnection.gov/search/warn_lookups/116
PaperWorks,"Jan 31, 2014",100,WARN,Phoenix,19004,5 - ARIZONA@WORK City of Phoenix,"5301 West Mohave; Phoenix, Pennsylvania 19004",117,https://www.azjobconnection.gov/search/warn_lookups/117
Magellan Health Services,"Jan 27, 2014",247,Non-WARN,,,5 - ARIZONA@WORK City of Phoenix,,118,https://www.azjobconnection.gov/search/warn_lookups/118
Magellan,"Jan 27, 2014",247,WARN,,,5 - ARIZONA@WORK City of Phoenix,,119,https://www.azjobconnection.gov/search/warn_lookups/119
GE Capital,"Jan 15, 2014",,WARN,,,5 - ARIZONA@WORK City of Phoenix,,120,https://www.azjobconnection.gov/search/warn_lookups/120
"Blue Chip southwest, LLC","Jan 24, 2014",85,WARN,Tolleson,85085,7 - ARIZONA@WORK Maricopa County,"407 S. 107th Ave. Build D; Tolleson, Arizona 85085",121,https://www.azjobconnection.gov/search/warn_lookups/121
Albertsons LLC,"Jan 13, 2014",68,WARN,Phoenix,85032,7 - ARIZONA@WORK Maricopa County,"4747 E. Greenway Road; Phoenix, Arizona 85032",122,https://www.azjobconnection.gov/search/warn_lookups/122
Macy'S,"Jan 08, 2014",92,WARN,,,7 - ARIZONA@WORK Maricopa County,,131,https://www.azjobconnection.gov/search/warn_lookups/131
Lockheed Martin Corporation Information Systems,"Apr 11, 2014",402,WARN,Goodyear,85338,7 - ARIZONA@WORK Maricopa County,"1300 S. Litchfield Road; Goodyear, Arizona 85338",153,https://www.azjobconnection.gov/search/warn_lookups/153
Maricopa Integrated Health System (CCC),"Apr 25, 2014",641,WARN,Phoenix,85008,5 - ARIZONA@WORK City of Phoenix,"2601 E. Roosevelt Street; Phoenix, Arizona 85008",154,https://www.azjobconnection.gov/search/warn_lookups/154
"US Airways, Inc.","Apr 07, 2014",13,WARN,Tempe,85281,7 - ARIZONA@WORK Maricopa County,"111 W. Rio Salado Pkwy; Tempe, Arizona 85281",155,https://www.azjobconnection.gov/search/warn_lookups/155
Acosta Sales & Marketing,"Jun 19, 2014",,WARN,Phoenix,85040,5 - ARIZONA@WORK City of Phoenix,,156,https://www.azjobconnection.gov/search/warn_lookups/156
TRX Managment LLCdba Zona Hotel & Suites,"Jun 20, 2014",82,WARN,,,7 - ARIZONA@WORK Maricopa County,,157,https://www.azjobconnection.gov/search/warn_lookups/157
Sodexo,"Jul 30, 2014",58,WARN,,,7 - ARIZONA@WORK Maricopa County,,158,https://www.azjobconnection.gov/search/warn_lookups/158
Davidson Hotels & Resorts,"Jun 26, 2014",51,WARN,Scottsdale,85253,7 - ARIZONA@WORK Maricopa County,"6160 N. Scottsdale Road; Scottsdale, Arizona 85253",159,https://www.azjobconnection.gov/search/warn_lookups/159
Arizona Neurological Institute,"Aug 01, 2014",,WARN,,,7 - ARIZONA@WORK Maricopa County,,160,https://www.azjobconnection.gov/search/warn_lookups/160
Anthem,"Jul 15, 2014",21,Non-WARN,Phoenix,85209,5 - ARIZONA@WORK City of Phoenix,"9215 N Black Canyon Hwy; Phoenix, Arizona 85209",161,https://www.azjobconnection.gov/search/warn_lookups/161
Anthem Education,"Jul 15, 2014",21,WARN,Phoenix,85029,5 - ARIZONA@WORK City of Phoenix,"925 N. Black Canyon Hwy; Phoenix, Arizona 85029",162,https://www.azjobconnection.gov/search/warn_lookups/162
"NewStar Fresh Foods, LLC","Aug 15, 2014",41,WARN,Yuma,85364,9 - ARIZONA@WORK Yuma County,"4101 S. Avenue 3 1/14 E; Yuma, Arizona 85364",163,https://www.azjobconnection.gov/search/warn_lookups/163
Rural Metro,"Aug 27, 2014",255,WARN,Scottsdale,85258,7 - ARIZONA@WORK Maricopa County,"9165 E. Del Camino; Scottsdale, Arizona 85258",164,https://www.azjobconnection.gov/search/warn_lookups/164
"Marcolin USA, Inc","Sep 30, 2014",105,WARN,Scottsdale,85260,7 - ARIZONA@WORK Maricopa County,"4243 E. Tierra Buena Lane; Scottsdale, Arizona 85260",165,https://www.azjobconnection.gov/search/warn_lookups/165
Primary Financial Services,"Oct 06, 2014",122,WARN,,,5 - ARIZONA@WORK City of Phoenix,,166,https://www.azjobconnection.gov/search/warn_lookups/166
GT Advanced Technologies,"Oct 16, 2014",727,WARN,,,7 - ARIZONA@WORK Maricopa County,,167,https://www.azjobconnection.gov/search/warn_lookups/167
Walgreen Co.,"Oct 20, 2014",348,WARN,,,,,168,https://www.azjobconnection.gov/search/warn_lookups/168
"SYKES Enterprises, Incorporated","Jan 24, 2012",85,WARN,,,8 - ARIZONA@WORK Santa Cruz County,,3,https://www.azjobconnection.gov/search/warn_lookups/3
VT Services,"Jan 31, 2012",107,WARN,,,1 - ARIZONA@WORK Southeastern Arizona,,4,https://www.azjobconnection.gov/search/warn_lookups/4
Wells Fargo,"Mar 26, 2012",76,WARN,Chandler,85286,7 - ARIZONA@WORK Maricopa County,"2600 S Price Rd; Chandler, Arizona 85286",5,https://www.azjobconnection.gov/search/warn_lookups/5
"Chevron Mining, Inc. McKinley Mine","Feb 08, 2012",103,WARN,,,,,6,https://www.azjobconnection.gov/search/warn_lookups/6
Schuff Steel Company,"Feb 24, 2012",89,WARN,,,7 - ARIZONA@WORK Maricopa County,,7,https://www.azjobconnection.gov/search/warn_lookups/7
SCAN Health Plan Arizona,"Feb 29, 2012",,WARN,,,7 - ARIZONA@WORK Maricopa County,,8,https://www.azjobconnection.gov/search/warn_lookups/8
Armor Works,"Mar 12, 2012",124,WARN,,,7 - ARIZONA@WORK Maricopa County,,9,https://www.azjobconnection.gov/search/warn_lookups/9
The Great Indoors  #1901,"Apr 18, 2012",75,WARN,,,7 - ARIZONA@WORK Maricopa County,,10,https://www.azjobconnection.gov/search/warn_lookups/10
The Great Indoors #1913,"Apr 18, 2012",61,WARN,,,7 - ARIZONA@WORK Maricopa County,,11,https://www.azjobconnection.gov/search/warn_lookups/11
"American Airlines, Inc.","May 01, 2012",,WARN,,,6 - ARIZONA@WORK Pima County,,40,https://www.azjobconnection.gov/search/warn_lookups/40
Covance Laboratories Inc.,"May 02, 2012",133,WARN,,,7 - ARIZONA@WORK Maricopa County,,63,https://www.azjobconnection.gov/search/warn_lookups/63
MetLife,"May 01, 2012",64,WARN,,,7 - ARIZONA@WORK Maricopa County,,64,https://www.azjobconnection.gov/search/warn_lookups/64
"O.P.E.N. America, Inc. dba: OpenWorks","May 01, 2012",144,WARN,,,7 - ARIZONA@WORK Maricopa County,,65,https://www.azjobconnection.gov/search/warn_lookups/65
"Hostess Brands, Inc.","May 04, 2012",2,WARN,,,1 - ARIZONA@WORK Southeastern Arizona,,66,https://www.azjobconnection.gov/search/warn_lookups/66
Hostess Brand Inc.,"May 04, 2012",9,WARN,,,,,67,https://www.azjobconnection.gov/search/warn_lookups/67
"Hostess Brands, Inc.","May 04, 2012",1,WARN,,,,,70,https://www.azjobconnection.gov/search/warn_lookups/70
"Hostess Brands, Inc.","May 04, 2012",,WARN,,,7 - ARIZONA@WORK Maricopa County,,71,https://www.azjobconnection.gov/search/warn_lookups/71
"Hostess Brands, Inc.","May 04, 2012",,WARN,,,7 - ARIZONA@WORK Maricopa County,,72,https://www.azjobconnection.gov/search/warn_lookups/72
"Hostess Brands, Inc.","May 04, 2012",38,WARN,,,7 - ARIZONA@WORK Maricopa County,,73,https://www.azjobconnection.gov/search/warn_lookups/73
"Hostess Brand, Inc.","May 04, 2012",43,WARN,,,7 - ARIZONA@WORK Maricopa County,,74,https://www.azjobconnection.gov/search/warn_lookups/74
"Hostess Brands, Inc.","May 04, 2012",1,WARN,,,7 - ARIZONA@WORK Maricopa County,,75,https://www.azjobconnection.gov/search/warn_lookups/75
"Hostess Brands, Inc.","May 04, 2012",,WARN,,,,,76,https://www.azjobconnection.gov/search/warn_lookups/76
"Hostess Brand, Inc.","May 04, 2012",5,WARN,,,,,77,https://www.azjobconnection.gov/search/warn_lookups/77
"Hostess Brands, Inc.","May 04, 2012",6,WARN,,,,,78,https://www.azjobconnection.gov/search/warn_lookups/78
"Hostess Brands, Inc.","May 04, 2012",1,WARN,,,,,79,https://www.azjobconnection.gov/search/warn_lookups/79
"Hostess Brands, Inc.","May 04, 2012",38,WARN,,,6 - ARIZONA@WORK Pima County,,80,https://www.azjobconnection.gov/search/warn_lookups/80
"Hostess Brands, Inc.","May 04, 2012",3,WARN,,,,,82,https://www.azjobconnection.gov/search/warn_lookups/82
"Hostess Brands, Inc.","May 04, 2012",8,WARN,,,9 - ARIZONA@WORK Yuma County,,83,https://www.azjobconnection.gov/search/warn_lookups/83
"Bada Bing Bakery LLC, dba Chompie's Baking Co.","Mar 16, 2012",70,Non-WARN,,,7 - ARIZONA@WORK Maricopa County,,84,https://www.azjobconnection.gov/search/warn_lookups/84
"Bada Bing Bakery LLC, dba Chompie's Baking Co.","Mar 16, 2012",74,Non-WARN,,,7 - ARIZONA@WORK Maricopa County,,85,https://www.azjobconnection.gov/search/warn_lookups/85
"Bada Bing Bakery LLC, dba Chompie's Baking Co.","Mar 16, 2012",,WARN,,,7 - ARIZONA@WORK Maricopa County,,86,https://www.azjobconnection.gov/search/warn_lookups/86
"Mojave Desert Minerals, LLC","Jul 12, 2012",56,WARN,Oatman,86433,,"10277 W. Oatman Hwy; Oatman, Arizona 86433",87,https://www.azjobconnection.gov/search/warn_lookups/87
"THQ, Inc.","Jul 19, 2012",57,WARN,Phoenix,85016,5 - ARIZONA@WORK City of Phoenix,"4722 N. 24th Street, Ste. 450; Phoenix, Arizona 85016",88,https://www.azjobconnection.gov/search/warn_lookups/88
Catalyst Paper Inc.,"Jul 30, 2012",266,WARN,,,,,89,https://www.azjobconnection.gov/search/warn_lookups/89
The Apache Railway Company Inc.,"Jul 30, 2012",,WARN,,,,,90,https://www.azjobconnection.gov/search/warn_lookups/90
"Global Solar Energy, Inc.","Jul 19, 2012",39,WARN,,,6 - ARIZONA@WORK Pima County,,91,https://www.azjobconnection.gov/search/warn_lookups/91
"Asset Acceptance, LLC","Sep 10, 2012",84,WARN,Tempe,85283,7 - ARIZONA@WORK Maricopa County,"1100 W. Grove Parkway, Suite 101; Tempe, Arizona 85283",92,https://www.azjobconnection.gov/search/warn_lookups/92
Kmart Corporation,"Oct 04, 2012",56,WARN,Peoria,85345,7 - ARIZONA@WORK Maricopa County,"10140 N. 91st Avenue; Peoria, Arizona 85345",93,https://www.azjobconnection.gov/search/warn_lookups/93
AAA Club Partners,"Oct 09, 2012",104,WARN,Glendale,85308,7 - ARIZONA@WORK Maricopa County,"5353 West Bell Road; Glendale, Arizona 85308",94,https://www.azjobconnection.gov/search/warn_lookups/94
Guardian Building Products,"Oct 15, 2012",89,WARN,Kingman,86401,,"4200 Industrial Blvd; Kingman, Arizona 86401",95,https://www.azjobconnection.gov/search/warn_lookups/95
"marriott International, Inc.","Aug 30, 2012",44,WARN,Marana,85658,6 - ARIZONA@WORK Pima County,"15000 N. Secret Springs Drive; Marana, Arizona 85658",96,https://www.azjobconnection.gov/search/warn_lookups/96
HMSHost,"Oct 29, 2012",,WARN,,,5 - ARIZONA@WORK City of Phoenix,,97,https://www.azjobconnection.gov/search/warn_lookups/97
"Wyndam Vaction ownerhsip, Inc. (Company)","Nov 07, 2012",99,WARN,Scottsdale,85251,7 - ARIZONA@WORK Maricopa County,"6991 Camelback Road, Suite B111; Scottsdale, Arizona 85251",98,https://www.azjobconnection.gov/search/warn_lookups/98
Hawker Beechcraft Corporation,"Nov 14, 2012",38,WARN,Mesa,85209,7 - ARIZONA@WORK Maricopa County,"5615 S. Sossaman Road; Mesa, Arizona 85209",99,https://www.azjobconnection.gov/search/warn_lookups/99
Valeant Pharmaceuticals North America LLC,"Dec 10, 2012",319,WARN,Scottsdale,85254,7 - ARIZONA@WORK Maricopa County,"720 North Dobson Road; Scottsdale, Arizona 85254",100,https://www.azjobconnection.gov/search/warn_lookups/100
"VWR International, Rodnor Corporate Center","Dec 17, 2012",50,WARN,Chandler,85248,7 - ARIZONA@WORK Maricopa County,"4500 S. Dobson Road; Chandler, Arizona 85248",101,https://www.azjobconnection.gov/search/warn_lookups/101
TriWest Healthcare Alliance,"Dec 10, 2012",904,WARN,,,5 - ARIZONA@WORK City of Phoenix,,102,https://www.azjobconnection.gov/search/warn_lookups/102
Michaels Arts and Crafts,"Jan 11, 2012",23,Non-WARN,,,,,107,https://www.azjobconnection.gov/search/warn_lookups/107
Albertson's Store #968,"Jan 06, 2012",73,WARN,,,,,2,https://www.azjobconnection.gov/search/warn_lookups/2
"Hostess Brands, Inc.","May 04, 2012",1,WARN,,,,,68,https://www.azjobconnection.gov/search/warn_lookups/68
"Hostess Brand, Inc.","May 04, 2012",,WARN,,,,,69,https://www.azjobconnection.gov/search/warn_lookups/69
"Hostess Brands, Inc.","May 04, 2012",2,WARN,,,,,81,https://www.azjobconnection.gov/search/warn_lookups/81
Cementation,"Dec 10, 2012",400,WARN,Superior,85723,,"47206 North Magma Mine Road; Superior, Arizona 85723",103,https://www.azjobconnection.gov/search/warn_lookups/103
SSI,"Dec 18, 2012",135,WARN,Casa Grande,85122,,"550 North Camino Merade, Suite 21; Casa Grande, Arizona 85122",104,https://www.azjobconnection.gov/search/warn_lookups/104
International Window Arizona,"Dec 30, 2010",64,WARN,,,7 - ARIZONA@WORK Maricopa County,,12,https://www.azjobconnection.gov/search/warn_lookups/12
Kaplan University,"Dec 07, 2010",56,WARN,,,7 - ARIZONA@WORK Maricopa County,,13,https://www.azjobconnection.gov/search/warn_lookups/13
John C. Lincoln Health Network's North Mountain,"Dec 06, 2010",99,WARN,,,7 - ARIZONA@WORK Maricopa County,,14,https://www.azjobconnection.gov/search/warn_lookups/14
ZipRealty,"Nov 29, 2010",195,WARN,,,7 - ARIZONA@WORK Maricopa County,,15,https://www.azjobconnection.gov/search/warn_lookups/15
CEMEX,"Nov 22, 2010",49,WARN,,,6 - ARIZONA@WORK Pima County,,16,https://www.azjobconnection.gov/search/warn_lookups/16
Palm Harbor Homes,"Nov 19, 2010",86,WARN,,,7 - ARIZONA@WORK Maricopa County,,17,https://www.azjobconnection.gov/search/warn_lookups/17
Plastican division of BWAY Corporation,"Nov 17, 2010",54,WARN,,,7 - ARIZONA@WORK Maricopa County,,18,https://www.azjobconnection.gov/search/warn_lookups/18
Pulte Building Services (PBS),"Nov 12, 2010",351,WARN,,,7 - ARIZONA@WORK Maricopa County,,19,https://www.azjobconnection.gov/search/warn_lookups/19
Hines Nurseries,"Oct 06, 2010",133,WARN,,,,,20,https://www.azjobconnection.gov/search/warn_lookups/20
"AB Car Rental Services, Inc.","Sep 28, 2010",70,WARN,,,7 - ARIZONA@WORK Maricopa County,,21,https://www.azjobconnection.gov/search/warn_lookups/21
Xanodyne Pharamaceuticals,"Sep 21, 2010",,WARN,,,7 - ARIZONA@WORK Maricopa County,,22,https://www.azjobconnection.gov/search/warn_lookups/22
"O'Reilly Automotive, Inc.","Sep 09, 2010",45,WARN,,,7 - ARIZONA@WORK Maricopa County,,23,https://www.azjobconnection.gov/search/warn_lookups/23
"Dole Fresh Vegetables, Inc.","Aug 27, 2010",652,WARN,,,9 - ARIZONA@WORK Yuma County,,24,https://www.azjobconnection.gov/search/warn_lookups/24
Whirlaway Corporation,"Aug 10, 2010",150,WARN,,,7 - ARIZONA@WORK Maricopa County,,25,https://www.azjobconnection.gov/search/warn_lookups/25
"Citigroup, Inc.","Jul 30, 2010",,WARN,,,7 - ARIZONA@WORK Maricopa County,,26,https://www.azjobconnection.gov/search/warn_lookups/26
Coach-Net Services Group,"Jul 27, 2010",160,WARN,,,,,27,https://www.azjobconnection.gov/search/warn_lookups/27
Microsemi Corporation,"Jul 12, 2010",255,WARN,,,7 - ARIZONA@WORK Maricopa County,,28,https://www.azjobconnection.gov/search/warn_lookups/28
Crowne Plaza Hotel,"Jun 30, 2010",79,WARN,,,7 - ARIZONA@WORK Maricopa County,,29,https://www.azjobconnection.gov/search/warn_lookups/29
Embassy Suites Hotel (Phoenix),"Jun 14, 2010",,WARN,,,7 - ARIZONA@WORK Maricopa County,,30,https://www.azjobconnection.gov/search/warn_lookups/30
Marketfare Foods,"Jun 11, 2010",84,WARN,,,7 - ARIZONA@WORK Maricopa County,,31,https://www.azjobconnection.gov/search/warn_lookups/31
ATC/Vancom of Arizona L.P. dba Veolia Tranport.,"Apr 28, 2010",953,WARN,,,7 - ARIZONA@WORK Maricopa County,,32,https://www.azjobconnection.gov/search/warn_lookups/32
